ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
29 ANTHONY,ACUSHNET,,1/23/14,1
20 ANTHONY,ACUSHNET,,1/28/14,2
MIDDLE,ACUSHNET,,2/2/14,3
70 SLOCUM,ACUSHNET,,2/10/14,2
71 SLOCUM,ACUSHNET,,2/11/14,2
14 MYRTLE,ACUSHNET,,2/14/14,2
47 WING,ACUSHNET,,2/21/14,1
8 NYE,ACUSHNET,,2/21/14,1
43 HOPE,ACUSHNET,,2/24/14,1
119 LAWSON,ACUSHNET,,5/10/14,1
33 JEAN,ACUSHNET,,6/18/14,2
62 LAURA-KEENE,ACUSHNET,,7/28/14,2
264 N-MAIN,ACUSHNET,,8/4/14,2
ANTHONY,ACUSHNET,AT NEW YORK AVE,8/27/14,2
RIVET,ACUSHNET,AT 58 S-MAIN ST,9/5/14,
18 ORCHARD,ACUSHNET,,9/10/14,
82 PECKHAM,ACUSHNET,,10/22/14,2
HOPE,ACUSHNET,AT S-MAIN ST,12/4/14,2
126 PECKHAM,ACUSHNET,,12/14/14,
87 PECKHAM,ACUSHNET,,12/21/14,1
27 SHERBORN,ASHLAND,,1/13/14,2
207 E-UNION,ASHLAND,,2/1/14,2
61 WARREN,ASHLAND,,2/10/14,2
163-165 CHERRY,ASHLAND,,2/20/14,1
DONNA-LEE,ASHLAND,AT EDWARDS DR,3/12/14,2
54 MOUNTAIN-GATE,ASHLAND,,3/26/14,1
157 LELAND-FARM,ASHLAND,,3/28/14,1
4 WENZELL,ASHLAND,,4/3/14,1
16 UNION,ASHLAND,,4/15/14,
WAVERLY,ASHLAND,,4/17/14,3
10 CEDAR-HILL,ASHLAND,,5/2/14,1
355 CHESTNUT,ASHLAND,,5/14/14,2
225 PLEASANT,ASHLAND,,5/16/14,1
202 AMERICA,ASHLAND,,5/19/14,2
33 W-UNION,ASHLAND,,6/9/14,1
27 STONEY-BROOK,ASHLAND,,6/18/14,1
36 SUMMIT,ASHLAND,,7/18/14,1
33 CARRIAGE-HSE,ASHLAND,,8/28/14,2
47 NICKERSON,ASHLAND,,8/29/14,2
24 HUNDRED-OAKS,ASHLAND,,9/15/14,
123 OAK,ASHLAND,,10/16/14,1
330 PLEASANT,ASHLAND,,10/24/14,1
330 PLEASANT,ASHLAND,,10/24/14,1
353 AMERICA,ASHLAND,,11/8/14,1
353 AMERICA,ASHLAND,,11/8/14,1
OPP 292 AMERICA,ASHLAND,,11/13/14,1
66 HIGLEY,ASHLAND,,12/4/14,2
201 WINTER,ASHLAND,,12/22/14,2
300 ELIOT,ASHLAND,,12/27/14,2
131 WAVERLY,ASHLAND,,12/27/14,2
12 FOREST,AUBURN,,6/28/14,1
17 WELLMAN,AUBURN,,7/6/14,3
77 SOUTHBRIDGE,AUBURN,,10/20/14,1
59-61 RESERVOIR,CAMBRIDGE,,1/6/14,2
59-61 RESERVOIR,CAMBRIDGE,,1/6/14,1
34 BROOKFORD,CAMBRIDGE,,1/7/14,1
251 BRATTLE,CAMBRIDGE,,1/9/14,2
101 FAYERWEATHER,CAMBRIDGE,,1/9/14,1
99 FAYERWEATHER,CAMBRIDGE,,1/10/14,1
93 GORE,CAMBRIDGE,,1/12/14,1
99 ALPINE,CAMBRIDGE,,1/13/14,2
THIRD,CAMBRIDGE,,1/13/14,2
103 FAYERWEATHER,CAMBRIDGE,,1/13/14,1
26 HARDWICK,CAMBRIDGE,,1/13/14,1
198 RINDGE,CAMBRIDGE,,1/14/14,1
76 COOLIDGE,CAMBRIDGE,,1/15/14,1
193 RINDGE,CAMBRIDGE,,1/15/14,2
85 FAYERWEATHER,CAMBRIDGE,,1/16/14,1
39-41 FAYERWEATHER,CAMBRIDGE,,1/20/14,2
125 PORTLAND,CAMBRIDGE,,1/23/14,1
857 MASS,CAMBRIDGE,,1/24/14,2
102 APPLETON,CAMBRIDGE,,1/27/14,1
10 ELLERY,CAMBRIDGE,,1/28/14,1
730 MAIN,CAMBRIDGE,,1/30/14,1
39 FAYERWEATHER,CAMBRIDGE,,2/3/14,2
19 BLACKSTONE,CAMBRIDGE,,2/4/14,1
32 HIGHLAND,CAMBRIDGE,,2/8/14,2
32 HIGHLAND,CAMBRIDGE,,2/9/14,2
703 MOUNT AUBURN,CAMBRIDGE,,2/10/14,3
19 BLACKSTONE,CAMBRIDGE,,2/10/14,2
149 LARCH,CAMBRIDGE,,2/10/14,1
40-42 MT-VERNON,CAMBRIDGE,,2/12/14,1
11 FRESH-POND,CAMBRIDGE,,2/15/14,1
37 FAYERWEATHER,CAMBRIDGE,,2/17/14,2
39 FAYERWEATHER,CAMBRIDGE,,2/17/14,1
29 HURON,CAMBRIDGE,,2/18/14,1
5 CONCORD,CAMBRIDGE,,2/19/14,1
343 BROADWAY,CAMBRIDGE,,2/24/14,2
424 WALDEN,CAMBRIDGE,,2/24/14,2
INMAN,CAMBRIDGE,AT BROADWAY,2/24/14,1
424 WALDEN,CAMBRIDGE,,2/24/14,1
16 SHEPARD,CAMBRIDGE,,2/25/14,2
410 WALDEN,CAMBRIDGE,,2/19/14,1
410 WALDEN,CAMBRIDGE,,2/20/14,2
WALDEN,CAMBRIDGE,,2/24/14,2
77 FAYERWEATHER,CAMBRIDGE,,2/24/14,2
2512 MASS,CAMBRIDGE,,2/25/14,2
94 FAYERWEATHER,CAMBRIDGE,,3/9/14,1
STATE,CAMBRIDGE,AT 810 MAIN,3/10/14,1
424 WALDEN,CAMBRIDGE,,3/10/14,1
424 WALDEN,CAMBRIDGE,,3/10/14,1
