ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
PARK,HOPEDALE,,,,,,12/31/14,3
29 MARION,NATICK,,,,,,12/31/14,3
6 STRATHMORE,NATICK,,,,,,12/31/14,3
25 CATHERINE,NORTHBORO,,,,,,12/31/14,3
22 STONE,NORTHBORO,,,,,,12/31/14,3
93 WASHBURN,NORTHBORO,,,,,,12/31/14,3
132 BROOK,HOLLISTON,,,,,,12/30/14,3
COOPER,NATICK,,,,,,12/30/14,3
6 OTIS,NORTHBORO,,,,,,12/30/14,3
41 THOREAU,NORTHBORO,,,,,,12/30/14,3
42 THOREAU,NORTHBORO,,,,,,12/30/14,3
750 TRUMAN,HYDE PARK,,,,,,12/29/14,3
776 TRUMAN,HYDE PARK,,,,,,12/29/14,3
842 TRUMAN,HYDE PARK,,,,,,12/29/14,3
138 STATE,NEW BEDFORD,@ FRANKLIN ST,,,,,12/29/14,3
21 WILLIAMS,UPTON,,,,,,12/29/14,3
HOPKINTON,WESTBOROUGH,,,,,,12/29/14,3
WEST MAIN,WESTBOROUGH,,,,,,12/29/14,3
6 DOWNEY,WESTWOOD,@ HAWK TREE DR,,,,,12/29/14,3
GLANDORE,WESTWOOD,,,,,,12/29/14,3
253 POND,WESTWOOD,,,,,,12/29/14,3
91 STRASSER,WESTWOOD,,,,,,12/29/14,3
115 FLAGG,WORCESTER,,,,,,12/29/14,3
3-5 THATCHER,HYDE PARK,,,,,,12/26/14,3
706 TRUMAN,HYDE PARK,,,,,,12/26/14,3
746 TRUMAN,HYDE PARK,,,,,,12/26/14,3
327 WEST CENTRAL,NATICK,,,,,,12/26/14,3
50 PLEASANT,NATICK,,,,,,12/26/14,3
6 PLEASANT,NATICK,,,,,,12/26/14,3
228 POND,NATICK,,,,,,12/26/14,3
SPEEN,NATICK,,,,,,12/26/14,3
241 WEST CENTRAL,NATICK,,,,,,12/26/14,3
58 WEST CENTRAL,NATICK,,,,,,12/26/14,3
16 WESTERN,NATICK,,,,,,12/26/14,3
35 WHITTIER,NATICK,,,,,,12/26/14,3
21 NORTH MAIN,UXBRIDGE,,,,,,12/26/14,3
129-135 BONHAM,DEDHAM,,,,,,12/24/14,3
35 SANFORD,HYDE PARK,,,,,,12/24/14,3
189 SHERRIN,HYDE PARK,,,,,,12/24/14,3
31 SUMMER,HYDE PARK,,,,,,12/24/14,3
74 SUMMER,HYDE PARK,,,,,,12/24/14,3
10 VERMONT,NATICK,,,,,,12/24/14,3
18 VERMONT,NATICK,,,,,,12/24/14,3
57 BRIAR,WESTWOOD,,,,,,12/24/14,3
60 BRIAR,WESTWOOD,,,,,,12/24/14,3
72 BRIAR,WESTWOOD,,,,,,12/24/14,3
125 FENSVIEW,WESTWOOD,,,,,,12/24/14,3
205 WEATHERBEE,WESTWOOD,,,,,,12/24/14,3
36 WOODRIDGE,WESTWOOD,,,,,,12/24/14,3
37 WOODRIDGE,WESTWOOD,,,,,,12/24/14,3
337 CHESTNUT,ASHLAND,,,,,,12/23/14,3
400 MOUNT AUBURN,CAMBRIDGE,,,,,,12/23/14,2
26 CRESTWOOD,FRAMINGHAM,,,,,,12/23/14,3
9 PERKINS,HYDE PARK,,,,,,12/23/14,3
20 RILEY,HYDE PARK,,,,,,12/23/14,3
1916 RIVER,HYDE PARK,,,,,,12/23/14,3
860 RIVER,HYDE PARK,,,,,,12/23/14,3
10 MICHIGAN,NATICK,,,,,,12/23/14,3
MICHIGAN,NATICK,,,,,,12/23/14,3
319 NORTH MAIN,NATICK,,,,,,12/23/14,3
338 NORTH MAIN,NATICK,,,,,,12/23/14,3
97 NORTH MAIN,NATICK,,,,,,12/23/14,3
15 WATER,NATICK,,,,,,12/23/14,3
20 WATER,NATICK,,,,,,12/23/14,3
37 WELLESLEY,NATICK,,,,,,12/23/14,3
HIGH ROCK,NEEDHAM,@ LINDEN ST,,,,,12/23/14,3
98 LINCOLN,NEEDHAM,,,,,,12/23/14,3
LINDEN,NEEDHAM,,,,,,12/23/14,3
WEBSTER,NEEDHAM,,,,,,12/23/14,3
364-366 HAMILTON,WORCESTER,,,,,,12/23/14,3
40 SUMMER,ASHLAND,,,,,,12/22/14,3
91 CHILD,HYDE PARK,,,,,,12/22/14,3
731 METROPOLITAN,HYDE PARK,,,,,,12/22/14,3
920 METROPOLITAN,HYDE PARK,,,,,,12/22/14,3
MILTON,HYDE PARK,,,,,,12/22/14,3
19 FITZGERALD,MARLBORO,,,,,,12/22/14,3
BODEN,NATICK,@ TAMARACK RD,,,,,12/22/14,3
GLEN,NATICK,,,,,,12/22/14,3
15 WASHINGTON,NATICK,@ HUNTER HILL RD,,,,,12/22/14,3
67 NORFOLK,NEEDHAM,,,,,,12/22/14,3
17 RIDGEWAY,NEEDHAM,,,,,,12/22/14,3
53 WEBSTER,NEEDHAM,,,,,,12/22/14,3
176 WHITMAN,NEEDHAM,,,,,,12/22/14,3
56 WINDING RIVER,NEEDHAM,,,,,,12/22/14,3
160 TACOMA,WORCESTER,,,,,,12/22/14,3
46 BAY,FAIRHAVEN,,,,,,12/19/14,3
19 MARIPOSA,HYDE PARK,,,,,,12/19/14,3
257 HIGH ROCK,NEEDHAM,,,,,,12/19/14,3
287 HIGH ROCK,NEEDHAM,,,,,,12/19/14,3
381 HIGH ROCK,NEEDHAM,,,,,,12/19/14,3
HIGH ROCK,NEEDHAM,,,,,,12/19/14,3
36 MARKED TREE,NEEDHAM,,,,,,12/19/14,3
4 WILLIAMS,UPTON,,,,,,12/19/14,3
148 LINCOLN,WORCESTER,,,,,,12/19/14,3
150 LINCOLN,WORCESTER,,,,,,12/19/14,3
161 GARDEN,CAMBRIDGE,,,,,,12/18/14,3
FRIENDSHIP,HYDE PARK,,,,,,12/18/14,3
140-142 HOLLINGSWORTH,HYDE PARK,,,,,,12/18/14,3
29-33 MAGEE,HYDE PARK,,,,,,12/18/14,3
16 MARIPOSA,HYDE PARK,,,,,,12/18/14,3
63 MARIPOSA,HYDE PARK,,,,,,12/18/14,3
27 PINEWOOD,HYDE PARK,,,,,,12/18/14,3
PINEWOOD,HYDE PARK,,,,,,12/18/14,3
35 SEFTON,HYDE PARK,,,,,,12/18/14,3
61 TAUNTON,HYDE PARK,,,,,,12/18/14,3
160 COUNTRY,NEEDHAM,,,,,,12/18/14,3
67 GREEN,NEEDHAM,,,,,,12/18/14,3
1102 HIGHLAND,NEEDHAM,,,,,,12/18/14,3
HIGHLAND,NEEDHAM,,,,,,12/18/14,3
147 PRINCE,NEEDHAM,,,,,,12/18/14,3
15 FEARING,WESTWOOD,,,,,,12/18/14,3
168 LINCOLN,WORCESTER,,,,,,12/18/14,3
176 LINCOLN,WORCESTER,,,,,,12/18/14,3
200 LINCOLN,WORCESTER,,,,,,12/18/14,3
440 LINCOLN,WORCESTER,,,,,,12/18/14,3
CHESTNUT,ASHLAND,,,,,,12/17/14,3
32 QUINCY,CAMBRIDGE,,,,,,12/17/14,2
1653 MASSACHUSETTS,CAMBRIDGE,,,,,,12/17/14,3
1960 MASSACHUSETTS,CAMBRIDGE,,,,,,12/17/14,3
419 CHARLES RIVER,NEEDHAM,,,,,,12/17/14,3
723-737 CHARLES RIVER,NEEDHAM,,,,,,12/17/14,3
120 LOCUST,NEEDHAM,,,,,,12/17/14,3
68 PLEASANT,NEEDHAM,,,,,,12/17/14,3
BEDFORD,NEW BEDFORD,@ ANTHONY ST,,,,,12/17/14,3
478 NASH,NEW BEDFORD,,,,,,12/17/14,3
53 ELLSWORTH,WORCESTER,,,,,,12/17/14,3
50 HAMILTON,WORCESTER,@ PLANTATION ST,,,,,12/17/14,3
12 JUDSON,WORCESTER,,,,,,12/17/14,3
6 JUDSON,WORCESTER,,,,,,12/17/14,3
549 LINCOLN,WORCESTER,,,,,,12/17/14,3
562 LINCOLN,WORCESTER,,,,,,12/17/14,3
570 LINCOLN,WORCESTER,,,,,,12/17/14,3
580 LINCOLN,WORCESTER,,,,,,12/17/14,3
617 LINCOLN,WORCESTER,,,,,,12/17/14,3
649 LINCOLN,WORCESTER,,,,,,12/17/14,3
17 WELLMAN,AUBURN,,,,,,12/16/14,3
44 SACRAMENTO,CAMBRIDGE,,,,,,12/16/14,3
31 CHESTNUT,DARTMOUTH,@ FRANKLIN ST,,,,,12/16/14,3
WINTER,FRAMINGHAM,@ SALEM END RD,,,,,12/16/14,3
8 CATON,HYDE PARK,,,,,,12/16/14,3
17 FRIENDSHIP,HYDE PARK,,,,,,12/16/14,3
64 LORING,HYDE PARK,,,,,,12/16/14,3
9 LORING,HYDE PARK,,,,,,12/16/14,3
LORING,HYDE PARK,,,,,,12/16/14,3
1711 CENTRAL,NEEDHAM,,,,,,12/16/14,3
16 CHARLES,NEEDHAM,,,,,,12/16/14,3
21 LEE,NEEDHAM,,,,,,12/16/14,3
RESERVOIR,NEEDHAM,,,,,,12/16/14,3
29 YALE,NEEDHAM,,,,,,12/16/14,3
8 COLONIAL,WESTBOROUGH,,,,,,12/16/14,3
117 EAST MAIN,WESTBOROUGH,,,,,,12/16/14,3
10 GROVE,WESTBOROUGH,,,,,,12/16/14,3
130 FORBES,WESTWOOD,,,,,,12/16/14,3
572 BURNCOAT,WORCESTER,,,,,,12/16/14,3
