ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
WEST,NEEDHAM,@ ELIOT RD,15-Nov-00,3
4 TABER,ROCHESTER,,13-Sep-01,3
1129 JOYCE,NEW BEDFORD,,31-May-02,3
45 COMO,HYDE PARK,,20-Jun-05,3
11 HADWEN,WORCESTER,,21-Jun-05,3
77 PARKER,WESTWOOD,,27-Jul-05,3
251-253 WASHINGTON,WESTWOOD,,28-Jul-05,3
71 WILSON,FRAMINGHAM,,9-Aug-05,3
295 MAIN,FAIRHAVEN,,28-Oct-05,3
5 LYFORD,WORCESTER,,15-Jul-08,3
334 SALEM-END,FRAMINGHAM,,28-Jan-10,3
441 SALEM-END,FRAMINGHAM,,12-Feb-10,3
436 WASHINGTON,WESTWOOD,,23-Apr-10,3
324 WINTER,FRAMINGHAM,,10-May-10,3
53 SAVIN,DEDHAM,,17-May-10,3
87 ROSEMARY,DEDHAM,,30-Jun-10,3
62 NEEDHAM,DEDHAM,,31-Aug-10,3
CONCORD,FRAMINGHAM,@ ABERDEEN ROAD,17-Sep-10,3
550 WINTER,FRAMINGHAM,,21-Sep-10,3
1191 GREENDALE,NEEDHAM,,7-Oct-10,3
1711 CENTRAL,NEEDHAM,,18-Nov-10,3
14 WELD,FRAMINGHAM,,19-Nov-10,3
57 MELROSE,NEEDHAM,,29-Nov-10,3
67 GREEN,NEEDHAM,,1-Dec-10,3
142 STATE,DARTMOUTH,,4-Mar-11,3
6 WORCESTER,GRAFTON,,21-Mar-11,3
28 WEST,MILFORD,,24-Mar-11,3
661 COCHITUATE,FRAMINGHAM,,28-Mar-11,3
100 WORCESTER,FRAMINGHAM,,4-Apr-11,3
113 SECOND,CAMBRIDGE,,22-Apr-11,3
198 ALLEN,NEW BEDFORD,,1-Jun-11,3
3 IMPERIAL,WORCESTER,,1-Jun-11,3
12 OXBOW,NATICK,,22-Jul-11,3
190 VIKING,PLYMOUTH,,16-Aug-11,3
17-19 THAYER HEIGHTS,HOPKINTON,,21-Sep-11,3
1200 GREAT-PLAIN,NEEDHAM,,14-Oct-11,3
1200 GREAT-PLAIN,NEEDHAM,,14-Oct-11,3
PRINCE,FAIRHAVEN,,28-Oct-11,3
25 FOSTER,FRAMINGHAM,,28-Oct-11,3
495 HARTFORD,SHREWSBURY,,28-Oct-11,3
81 ESSEX,MARLBORO,,30-Dec-11,3
100 CABOT,NEEDHAM,,2-Mar-12,3
198 WORCESTER,GRAFTON,,15-Mar-12,3
1245 WORCESTER,NATICK,,27-Mar-12,3
MARKLEE,NEEDHAM,@ ALFRETON ROAD,28-Mar-12,3
75 PROVIDENCE,WESTWOOD,,20-Apr-12,3
38 WESTGATE,FRAMINGHAM,,24-Apr-12,3
40 WESTGATE,FRAMINGHAM,,24-Apr-12,3
351 PEARL,CAMBRIDGE,,26-Apr-12,3
35 VAILLENCOURT,FRAMINGHAM,,26-Apr-12,3
8 VIGUE,FRAMINGHAM,,1-May-12,3
36 TREMONT,CAMBRIDGE,,4-May-12,3
143 LORDVALE,GRAFTON,,8-May-12,3
4 ALAN,FRAMINGHAM,,11-May-12,3
15 BRIDLE-PATH,FRAMINGHAM,,11-May-12,3
4 LOMAS,FRAMINGHAM,,15-May-12,3
23 MONTGOMERY,FRAMINGHAM,,15-May-12,3
9 ELIZABETH,GRAFTON,,15-May-12,3
3 WILLIAM,GRAFTON,,15-May-12,3
172 LOCKLAND,FRAMINGHAM,,16-May-12,3
3 HAMLET,FAIRHAVEN,,12-Jun-12,3
5 HARDING,GRAFTON,,14-Jun-12,3
88 DAVIDSON,FRAMINGHAM,,22-Jun-12,3
146 PEMBROKE,KINGSTON,,27-Jun-12,3
2 PINE,KINGSTON,,27-Jun-12,3
23 LOWE,FRAMINGHAM,,28-Jun-12,3
1139 CONCORD,FRAMINGHAM,,3-Jul-12,3
7 MAGNOLIA,FRAMINGHAM,,5-Jul-12,3
586 PLEASANT,FRAMINGHAM,,10-Jul-12,3
22 MADISON,SOMERVILLE,,13-Jul-12,3
11 SURRO,FRAMINGHAM,,16-Jul-12,3
