Town,address,cross st,date reported,Date repaired,status
ACUSHNET,150 S-MAIN,,08/18/14,,2014 Unrepaired 
ACUSHNET,151 S-MAIN,,08/18/14,,2014 Unrepaired 
ACUSHNET,181 S-MAIN,,08/18/14,,2014 Unrepaired 
ACUSHNET,310 MENDALL,,03/31/14,,2014 Unrepaired 
ACUSHNET,46 WING,,05/05/14,,2014 Unrepaired 
ACUSHNET,68 JEAN,,08/18/14,,2014 Unrepaired 
ASHLAND,EDWARD,,06/12/14,,2014 Unrepaired 
ASHLAND,10 HARRIS,,05/25/11,,2014 Unrepaired 
ASHLAND,110 W-UNION,,05/23/14,,2014 Unrepaired 
ASHLAND,16 FOXHILL,,05/18/11,,2014 Unrepaired 
ASHLAND,16 W-UNION,,08/04/14,,2014 Unrepaired 
ASHLAND,247 MEETING-HOUSE,,07/12/11,,2014 Unrepaired 
ASHLAND,300 ELIOT,,03/21/13,,2014 Unrepaired 
ASHLAND,33 HOLLY,,05/26/11,,2014 Unrepaired 
ASHLAND,34 BIRCH-HILL,,05/28/14,,2014 Unrepaired 
ASHLAND,355 CHESTNUT,,08/12/14,,2014 Unrepaired 
ASHLAND,378 UNION,,06/03/14,,2014 Unrepaired 
ASHLAND,4 HOLLY,,05/26/11,,2014 Unrepaired 
ASHLAND,57 SPYGLASS-HILL,,07/20/11,,2014 Unrepaired 
ASHLAND,76 OAK,,05/20/11,,2014 Unrepaired 
ASHLAND,77 SPYGLASS-HILL,,07/20/11,,2014 Unrepaired 
AUBURN,1 ST MARK,,11/06/14,,2014 Unrepaired 
AUBURN,25 BOYCE,,10/04/14,,2014 Unrepaired 
AUBURN,45 SWORD,,11/05/14,,2014 Unrepaired 
BOLTON,12 WOOBLEY,,08/22/14,,2014 Unrepaired 
CAMBRIDGE,ARNOLD,,03/25/14,,2014 Unrepaired 
CAMBRIDGE,BREWSTER,@ 10 APPLETON STREET,08/21/13,,2014 Unrepaired 
CAMBRIDGE,COPLEY,@ FAYERWEATHER STREET,09/14/14,,2014 Unrepaired 
CAMBRIDGE,DOUGLASS,@ MASS AVENUE,07/10/14,,2014 Unrepaired 
CAMBRIDGE,1 BLAIR,,08/20/14,,2014 Unrepaired 
CAMBRIDGE,1 FRANCIS,,08/21/14,,2014 Unrepaired 
CAMBRIDGE,1 HOLLIS,,10/31/14,,2014 Unrepaired 
CAMBRIDGE,106 HANCOCK,,11/24/14,,2014 Unrepaired 
CAMBRIDGE,106 HARVEY,,08/08/14,,2014 Unrepaired 
CAMBRIDGE,110 IRVING,,11/24/14,,2014 Unrepaired 
CAMBRIDGE,111 INMAN,,11/17/14,,2014 Unrepaired 
CAMBRIDGE,13 CEDAR,,10/22/14,,2014 Unrepaired 
CAMBRIDGE,13 LEONARD,,07/12/12,,2014 Unrepaired 
CAMBRIDGE,14 CENTRE,,11/17/14,,2014 Unrepaired 
CAMBRIDGE,1426 CAMBRIDGE,,11/24/14,,2014 Unrepaired 
CAMBRIDGE,146 CHILTON,,05/15/14,,2014 Unrepaired 
CAMBRIDGE,15 HUBBARD PARK,,11/18/14,,2014 Unrepaired 
CAMBRIDGE,150 ALEWIFE-BK,,06/12/14,,2014 Unrepaired 
CAMBRIDGE,161 GARDEN,,12/18/14,,2014 Unrepaired 
CAMBRIDGE,1653 MASSACHUSETTS,,12/17/14,,2014 Unrepaired 
CAMBRIDGE,1663 CAMBRIDGE,,12/04/14,,2014 Unrepaired 
CAMBRIDGE,1674 MASS,,05/20/14,,2014 Unrepaired 
CAMBRIDGE,179-181 FAYERWEATHER,,11/07/14,,2014 Unrepaired 
CAMBRIDGE,180 BRATTLE,,05/02/14,,2014 Unrepaired 
CAMBRIDGE,1868 MASS,,05/16/14,,2014 Unrepaired 
CAMBRIDGE,190-192 HOLWORTHY,,10/23/14,,2014 Unrepaired 
CAMBRIDGE,194 BRATTLE,,05/08/14,,2014 Unrepaired 
CAMBRIDGE,1960 MASSACHUSETTS,,12/17/14,,2014 Unrepaired 
CAMBRIDGE,198 BRATTLE,,10/16/14,,2014 Unrepaired 
CAMBRIDGE,199-205 ALEWIFE-BK,,06/12/14,,2014 Unrepaired 
CAMBRIDGE,20 HOLDEN,,10/22/14,,2014 Unrepaired 
CAMBRIDGE,2029 MASS,,06/11/14,,2014 Unrepaired 
CAMBRIDGE,209 BROADWAY,,12/11/14,,2014 Unrepaired 
CAMBRIDGE,220 BRATTLE,,03/31/14,,2014 Unrepaired 
CAMBRIDGE,224 BRATTLE,,10/16/14,,2014 Unrepaired 
CAMBRIDGE,226 BRATTLE,,08/04/14,,2014 Unrepaired 
CAMBRIDGE,23 SULLIVAN,,10/31/13,,2014 Unrepaired 
CAMBRIDGE,232 BROADWAY,,12/11/14,,2014 Unrepaired 
CAMBRIDGE,235 ALEWIFE-BK,,05/25/11,,2014 Unrepaired 
CAMBRIDGE,235-237 BROADWAY,,12/11/14,,2014 Unrepaired 
CAMBRIDGE,2387 MASS,,04/24/13,,2014 Unrepaired 
CAMBRIDGE,2391 MASS,,04/24/13,,2014 Unrepaired 
CAMBRIDGE,25 FAIRFIELD,,08/22/14,,2014 Unrepaired 
CAMBRIDGE,25 ROBERTS,,11/25/14,,2014 Unrepaired 
CAMBRIDGE,26 GRAY,,08/13/14,,2014 Unrepaired 
CAMBRIDGE,268 WALDEN,,05/28/14,,2014 Unrepaired 
CAMBRIDGE,27 FIFTH,,10/14/14,,2014 Unrepaired 
CAMBRIDGE,28 FAYERWEATHER,,09/16/14,,2014 Unrepaired 
CAMBRIDGE,28 HURON,,12/01/14,,2014 Unrepaired 
CAMBRIDGE,285 GREEN,,08/18/14,,2014 Unrepaired 
CAMBRIDGE,297 BROADWAY,,12/10/14,,2014 Unrepaired 
CAMBRIDGE,31 AMORY,,05/23/14,,2014 Unrepaired 
CAMBRIDGE,32 HOLDEN,,10/23/14,,2014 Unrepaired 
CAMBRIDGE,32 QUINCY,,12/17/14,,2014 Unrepaired 
CAMBRIDGE,327-329 CONCORD,,08/26/14,,2014 Unrepaired 
CAMBRIDGE,34-38 KIRKLAND,,10/22/14,,2014 Unrepaired 
CAMBRIDGE,340 CONCORD,,08/16/14,,2014 Unrepaired 
CAMBRIDGE,348-350 WALDEN,,11/10/14,,2014 Unrepaired 
