LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
38861,117 DUDLEY RIVER RD,,SOU,,,,,,3/18/1992,3,,,,,
38863,70 CENTRAL ST,TELEPHONE POLE 7 ST,SOU,,,,,,7/17/1994,3,,,,,
38877,24 VASSAR ST,MERRIAM ST,LEO,,,,,,10/21/1994,3,,,,,
38886,23 MILL ST,,LEO,,,,,,9/7/1995,3,,,,,
38909,84 UNION ST,,LEO,,,,,,9/12/1995,3,,,,,
38956,PARK ST,EVERETT ST,SOU,,,,,,7/8/1994,3,,,,,
38984,WATER ST,CHESTNUT ST,CLI,,,,,,10/18/1995,3,,,,,
39014,N MAIN ST,HOSPITAL RD,LEO,,,,,,4/20/1990,3,,,,,
39043,11 CASTLE RD,,WEY,,,,,,7/26/1995,3,,,,,
39061,25 RUCILLE AV,RAYCROFT AV,WEY,,,,,,7/17/1990,3,,,,,
39070,605 BROAD ST,,WEY,,,,,,4/21/1992,3,,,,,
39077,514 BROAD ST,CENTER ST,WEY,,,,,,5/7/1991,3,,,,,
39092,11 SAUNDERS ST,,WEY,,,,,,8/6/1990,3,,,,,
39093,209 IDLEWELL BLVD,CLEMATIS AV,WEY,,,,,,8/1/1990,3,,,,,
39095,157 PEARL ST,,WEY,,,,,,7/31/1990,3,,,,,
39100,467 MAIN ST,,WEY,,,,,,6/8/1993,3,,,,,
39131,35 GREAT REPUBLIC AV,,WEY,,,,,,7/18/1990,3,,,,,
39137,5 MUTTON LN,,WEY,,,,,,7/17/1990,3,,,,,
39168,65 LIVERMORE RD,,WEL,,,,,,6/14/1995,3,,,,,
39206,83 WESTGATE RD,,WEL,,,,,,7/23/1992,3,,,,,
39207,5 DEAN RD,,WEL,,,,,,8/3/1992,3,,,,,
39260,THORNTON ST,FENNO ST,QUI,,,,,,3/6/1995,3,,,,,
39278,68 ABERDEEN RD,,QUI,,,,,,8/8/1994,3,,,,,
39288,1 EXETER ST,N CENTRAL AV,QUI,,,,,,6/16/1994,3,,,,,
39292,QUINCY SHORE DR,FENNO ST,QUI,,,,,,6/23/1994,3,,,,,
39297,143 FENNO ST,,QUI,,,,,,7/3/1995,3,,,,,
39306,53 SUOMI RD,NELSON ST,QUI,,,,,,10/27/1992,3,,,,,
39314,PAYNE ST,FRANKLIN ST,QUI,,,,,,10/23/1992,3,,,,,
39321,10 HOLYOKE ST,,QUI,,,,,,8/2/1994,3,,,,,
39330,21 S WALNUT ST,,QUI,,,,,,5/4/1994,3,,,,,
39338,9 AVALON AV,,QUI,,,,,,5/2/1994,3,,,,,
39344,139 ELM ST,,QUI,,,,,,5/9/1994,3,,,,,
39359,64 PIERMONT ST,,QUI,,,,,,6/21/1994,3,,,,,
39362,54 WAYLAND ST,,QUI,,,,,,6/7/1994,3,,,,,
39366,241 BEALE ST,,QUI,1,241 BEALE ST,,,QUI,5/29/1994,3,3/6/2012 OTHER,,,,
39368,153 KENDRICK AV,,QUI,,,,,,5/26/1994,3,,,,,
39383,436 SEA ST,,QUI,,,,,,5/17/1994,3,,,,,
39385,50 HUGHES ST,,QUI,,,,,,5/12/1994,3,,,,,
39423,690 WILLARD ST,,QUI,,,,,,6/15/1994,3,,,,,
39539,250 BLUE HILL AV,BLUE HILL TER,MIL,,,,,,1/5/1995,3,,,,,
39557,265 N MAIN ST,DOLAN LN,COH,,,,,,6/14/1991,3,,,,,
39576,RUSSELL ST,RANDOLPH AV,MIL,,,,,,6/25/1994,3,,,,,
39584,126 REEDSDALE RD,,MIL,,,,,,6/26/1995,3,,,,,
39587,ADAMS ST,BROOK RD,MIL,,,,,,4/14/1993,3,,,,,
39588,73 BROOK HILL RD,,MIL,,,,,,3/31/1993,3,,,,,
39609,CUSHING RD,PLEASANT ST,COH,,,,,,5/18/1995,3,,,,,
39680,371 WALNUT ST,,BRO,,,,,,5/9/1995,3,,,,,
