ids_2014,ids_2015
3920,1
3919,2
3918,3
3916,4
3915,5
3914,6
3912,7
3908,8
3907,9
3906,10
3905,11
3904,12
3902,13
3901,14
3899,15
3898,16
3897,17
3894,18
3893,19
3890,20
3886,21
3885,22
3884,23
3883,24
3882,25
3881,26
3880,27
3879,28
3878,29
3877,30
3866,31
3867,32
3859,33
3858,34
3857,35
3856,36
3856,37
3853,39
3854,40
3852,38
3850,41
3849,42
3848,43
3847,44
3846,45
3845,46
3843,47
3844,48
3841,49
3842,50
3840,51
3839,52
3838,53
3837,55
3836,54
3833,57
3835,59
3832,56
3834,58
3831,60
3830,61
3829,62
3828,63
3825,64
3826,65
3824,66
3823,67
3822,68
3821,69
3819,70
3818,71
3817,72
3816,73
3815,74
3812,76
3810,77
3809,78
3808,79
3805,81
3799,82
3798,83
3797,84
3796,85
3793,86
3792,87
3791,88
3790,89
3787,90
3788,91
3784,93
3783,92
3785,94
3786,95
3782,96
3780,97
3779,98
3778,99
3773,100
3770,101
3769,102
3768,103
3767,104
3766,106
3765,107
3763,108
3760,109
3761,110
3758,111
3759,112
3757,114
3756,113
3755,115
3751,116
3747,118
3746,117
3745,120
3744,119
3741,121
3742,122
3738,124
3739,125
3736,123
3734,126
3732,129
3733,130
3727,131
3722,132
3724,133
3723,133
3725,134
3718,137
3717,136
3715,135
3713,138
3710,139
3711,140
3712,141
3708,142
3706,144
3704,143
3702,146
3701,145
3699,147
3697,148
3698,149
3696,151
3695,150
3694,152
3690,153
3689,155
3688,154
3681,156
3685,159
3683,158
3682,157
3678,162
3677,161
3676,160
3673,163
3672,164
3671,165
3669,166
3670,167
3666,168
3667,169
3668,170
3663,171
3660,172
3655,174
3654,175
3648,176
3643,177
3642,179
3641,180
3634,181
3629,182
3612,183
3624,189
3615,186
3614,185
3613,184
3617,187
3618,188
3609,190
3604,191
3607,193
3605,192
3600,195
3599,194
3595,198
3597,199
3598,200
3591,196
3593,197
3596,201
3589,202
3590,203
3588,204
3583,206
3579,208
3575,211
3574,210
3573,209
3569,212
3564,213
3566,214
3562,215
3558,218
3557,217
3553,220
3552,219
3546,222
3551,225
3549,223
3545,221
3550,224
3539,231
3535,230
3528,226
3529,227
3530,228
3533,229
3540,232
3541,233
3526,235
3527,236
3525,234
3522,237
3519,238
3520,239
3514,244
3513,243
3515,245
3506,240
3512,242
3510,241
3505,248
3502,246
3504,247
3498,263
3491,257
3492,258
3499,264
3487,253
3484,250
3500,265
3486,252
3485,251
3493,259
3494,260
3495,261
3488,254
3496,262
3489,255
3490,256
3501,266
3476,268
3479,271
3477,269
3475,267
3478,270
3473,272
3469,276
3467,274
3470,277
3471,278
3466,273
3468,275
3462,282
3460,280
3463,283
3459,279
3461,281
3464,284
3465,285
3456,292
3452,288
3454,290
3447,286
3457,293
3455,291
3453,289
3438,295
3441,298
3437,294
3439,296
3442,299
3440,297
3443,302
3443,300
3443,301
3445,302
3445,300
3445,301
3444,302
3444,300
3444,301
3446,303
3434,305
3433,304
3426,307
3430,311
3425,306
3429,310
3428,308
3428,309
3427,308
3427,309
3423,319
3422,319
3414,312
3415,313
