id,formatted_address,lat,lng,location_type,record_date,grade,record_type
93818,"""Boston Logan International Airport, 1 Harborside Dr, Boston, MA 02128, USA""",42.365613,-71.00956,"""APPROXIMATE""",1985-09-16,3,2014_leak
42122,"""282 Main St, Winchester, MA 01890, USA""",42.444362,-71.134975,"""ROOFTOP""",1989-10-04,3,2014_leak
39014,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-04-20,3,2014_leak
42817,"""62 Melbourne St, Boston, MA 02124, USA""",42.28974,-71.065398,"""RANGE_INTERPOLATED""",1990-04-23,3,2014_leak
93831,"""16 Grove St, Marshfield, MA 02050, USA""",42.110643,-70.698753,"""RANGE_INTERPOLATED""",1990-06-07,3,2014_leak
40217,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-06-13,3,2014_leak
40213,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-06-21,3,2014_leak
336411,"""72 Charles Diersch St, Weymouth, MA 02189, USA""",42.206097,-70.92121,"""ROOFTOP""",1990-07-16,3,2014_leak
336417,"""91 Hill St, Weymouth, MA 02189, USA""",42.216439,-70.917428,"""ROOFTOP""",1990-07-16,3,2014_leak
39137,"""5 Mutton Ln, East Weymouth, MA 02189, USA""",42.194899,-70.929616,"""ROOFTOP""",1990-07-17,3,2014_leak
39061,"""25 Rucille Ave, Weymouth, MA 02188, USA""",42.202484,-70.967551,"""ROOFTOP""",1990-07-17,3,2014_leak
39131,"""35 Great Republic Ave, South Weymouth, MA 02190, USA""",42.17501,-70.943895,"""ROOFTOP""",1990-07-18,3,2014_leak
39095,"""157 Pearl St, North Weymouth, MA 02191, USA""",42.237394,-70.947202,"""ROOFTOP""",1990-07-31,3,2014_leak
39093,"""209 Idlewell Blvd, Weymouth, MA 02188, USA""",42.233128,-70.954007,"""ROOFTOP""",1990-08-01,3,2014_leak
39092,"""11 Saunders St, North Weymouth, MA 02191, USA""",42.242002,-70.959862,"""ROOFTOP""",1990-08-06,3,2014_leak
43866,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-09-12,3,2014_leak
43865,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-10-02,3,2014_leak
42479,"""52 Sewall St, Somerville, MA 02145, USA""",42.393455,-71.092296,"""RANGE_INTERPOLATED""",1990-10-22,3,2014_leak
43797,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-10-22,3,2014_leak
43799,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-10-30,3,2014_leak
39769,"""Washington St @ Plymouth Rd, Braintree, MA 02184, USA""",42.179969,-71.014675,"""APPROXIMATE""",1990-11-27,3,2014_leak
43634,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1990-12-06,3,2014_leak
93170,"""Brookside Dr, Newport, TN 37821, USA""",35.942449,-83.173947,"""GEOMETRIC_CENTER""",1990-12-19,3,2014_leak
93176,"""4 Thorndike St, Reading, MA 01867, USA""",42.529307,-71.098502,"""RANGE_INTERPOLATED""",1991-02-28,3,2014_leak
93178,"""17 Hartwell Ave, Lexington, MA 02421, USA""",42.475245,-71.254915,"""ROOFTOP""",1991-03-07,3,2014_leak
39077,"""514 Broad St, Weymouth, MA 02188, USA""",42.217825,-70.939313,"""ROOFTOP""",1991-05-07,3,2014_leak
93878,"""Rock St, Newmarket, NH 03857, USA""",43.078381,-70.937412,"""GEOMETRIC_CENTER""",1991-05-20,3,2014_leak
39557,"""265 N Main St, Cohasset, MA 02025, USA""",42.243449,-70.818894,"""ROOFTOP""",1991-06-14,3,2014_leak
41546,"""2 Mayfair St, Lynn, MA 01904, USA""",42.491195,-70.958522,"""ROOFTOP""",1991-08-16,3,2014_leak
44044,"""6 Clark Rd, Hingham, MA 02043, USA""",42.235496,-70.881597,"""RANGE_INTERPOLATED""",1991-08-28,3,2014_leak
41944,"""27 Squanto Rd, Woburn, MA 01801, USA""",42.461348,-71.199674,"""ROOFTOP""",1991-08-29,3,2014_leak
42089,"""51 Mystic Valley Pkwy, Winchester, MA 01890, USA""",42.445171,-71.137351,"""ROOFTOP""",1991-09-10,3,2014_leak
42441,"""14 Grove St, Reading, MA 01867, USA""",42.532575,-71.119358,"""RANGE_INTERPOLATED""",1991-09-13,3,2014_leak
93918,"""47 W Main St, Ware, MA 01082, USA""",42.260501,-72.245408,"""RANGE_INTERPOLATED""",1991-10-01,3,2014_leak
43857,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1991-10-29,3,2014_leak
93203,"""115 Woodside Rd, Sudbury, MA 01776, USA""",42.347203,-71.410334,"""ROOFTOP""",1991-11-06,3,2014_leak
42241,"""Bent Rd, Sudbury, MA 01776, USA""",42.367321,-71.446051,"""GEOMETRIC_CENTER""",1991-11-06,3,2014_leak
41517,"""15 Ma Mar Ave, Midland, TX 79705, USA""",32.011174,-102.119717,"""RANGE_INTERPOLATED""",1991-12-13,3,2014_leak
41541,"""155 Lynnfield St, Lynn, MA 01904, USA""",42.489385,-70.967582,"""ROOFTOP""",1991-12-15,3,2014_leak
41446,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1991-12-26,3,2014_leak
93219,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-01-03,3,2014_leak
93221,"""43 Martin Bates St, Dedham, MA 02026, USA""",42.246739,-71.180116,"""RANGE_INTERPOLATED""",1992-01-09,3,2014_leak
42619,"""102 Boyd St, Watertown, MA 02472, USA""",42.360342,-71.190142,"""RANGE_INTERPOLATED""",1992-02-15,3,2014_leak
42835,"""Mel, Igarap\u00e9 do Meio - MA, Brazil""",-3.633333,-45.116667,"""APPROXIMATE""",1992-02-27,3,2014_leak
43871,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-03-16,3,2014_leak
38861,"""117 Dudley River Rd, Southbridge, MA 01550, USA""",42.065487,-72.00279,"""RANGE_INTERPOLATED""",1992-03-18,3,2014_leak
40757,"""614 Gallivan Blvd, Dorchester, MA 02122, USA""",42.283593,-71.050793,"""ROOFTOP""",1992-03-19,2,2014_leak
39070,"""605 Broad St, East Weymouth, MA 02189, USA""",42.216251,-70.934436,"""ROOFTOP""",1992-04-21,3,2014_leak
42311,"""656 Boston Post Rd, Sudbury, MA 01776, USA""",42.361081,-71.44229,"""ROOFTOP""",1992-05-14,3,2014_leak
43662,"""22 Jackson St, Ayer, MA 01432, USA""",42.564937,-71.587342,"""ROOFTOP""",1992-05-19,3,2014_leak
41243,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-05-29,3,2014_leak
41240,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-06-02,3,2014_leak
42432,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-06-17,3,2014_leak
42428,"""72 Woburn St, Reading, MA 01867, USA""",42.523747,-71.106713,"""RANGE_INTERPOLATED""",1992-06-18,3,2014_leak
41311,"""131 Selma St, Boston, MA 02128, USA""",42.390186,-71.003854,"""RANGE_INTERPOLATED""",1992-06-25,3,2014_leak
43195,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-06-29,3,2014_leak
41820,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-07-01,3,2014_leak
41822,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-07-08,3,2014_leak
41360,"""40 Perley Ave, Peabody, MA 01960, USA""",42.547424,-71.027767,"""ROOFTOP""",1992-07-15,3,2014_leak
39206,"""83 Westgate Rd, Wellesley, MA 02481, USA""",42.309778,-71.304201,"""ROOFTOP""",1992-07-23,3,2014_leak
39974,"""114 Thornton St, Boston, MA 02119, USA""",42.323136,-71.091185,"""ROOFTOP""",1992-07-24,3,2014_leak
40008,"""83 Blue Hill Avenue, Roxbury, MA 02119, USA""",42.322462,-71.077323,"""ROOFTOP""",1992-07-30,3,2014_leak
39207,"""5 Dean Rd, Wellesley Hills, MA 02481, USA""",42.325488,-71.275402,"""ROOFTOP""",1992-08-03,3,2014_leak
93970,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1992-10-08,3,2014_leak
39314,"""Franklin St @ Payne St, Quincy, MA 02169, USA""",42.239655,-71.00318,"""APPROXIMATE""",1992-10-23,3,2014_leak
39306,"""53 Suomi Rd, Quincy, MA 02169, USA""",42.245726,-71.018552,"""ROOFTOP""",1992-10-27,3,2014_leak
41527,"""198 Fays Ave, Lynn, MA 01904, USA""",42.492916,-70.94384,"""ROOFTOP""",1992-12-20,3,2014_leak
41147,"""48 Stanley Rd, Swampscott, MA 01907, USA""",42.480375,-70.892193,"""ROOFTOP""",1992-12-22,3,2014_leak
41990,"""363 Lexington St, Woburn, MA 01801, USA""",42.454175,-71.190824,"""RANGE_INTERPOLATED""",1992-12-30,3,2014_leak
93297,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-02-03,3,2014_leak
41153,"""974 Humphrey St, Swampscott, MA 01907, USA""",42.477211,-70.891642,"""ROOFTOP""",1993-02-06,3,2014_leak
93300,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-02-11,3,2014_leak
40917,"""Boston Logan International Airport, 1 Harborside Dr, Boston, MA 02128, USA""",42.365613,-71.00956,"""APPROXIMATE""",1993-02-15,3,2014_leak
93305,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-03-02,3,2014_leak
41458,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-03-02,3,2014_leak
42649,"""E Lombard St, Baltimore, MD, USA""",39.291949,-76.554111,"""GEOMETRIC_CENTER""",1993-03-03,3,2014_leak
39588,"""73 Brook Hill Rd, Milton, MA 02186, USA""",42.267213,-71.071683,"""ROOFTOP""",1993-03-31,3,2014_leak
43858,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-04-14,3,2014_leak
39587,"""Brook Rd, Milton, MA 02186, USA""",42.260016,-71.068218,"""GEOMETRIC_CENTER""",1993-04-14,3,2014_leak
120040,"""8 Williams Ct, Weymouth, MA 02188, USA""",42.21909,-70.96516,"""ROOFTOP""",1993-04-18,3,2014_leak
40322,"""143 E Cottage St, Boston, MA 02125, USA""",42.320842,-71.06344,"""ROOFTOP""",1993-05-16,3,2014_leak
42522,"""3 Columbus St, Providence, RI 02908, USA""",41.848557,-71.431731,"""RANGE_INTERPOLATED""",1993-05-21,3,2014_leak
41918,"""167 Bridge St, Beverly, MA 01915, USA""",42.553915,-70.904724,"""ROOFTOP""",1993-06-02,3,2014_leak
94007,"""70 Glendale St, Weymouth, MA 02188, USA""",42.219341,-70.957681,"""ROOFTOP""",1993-06-03,3,2014_leak
39100,"""467 Main St, South Weymouth, MA 02190, USA""",42.190987,-70.956084,"""ROOFTOP""",1993-06-08,3,2014_leak
39713,"""5 Mann St, Braintree, MA 02184, USA""",42.175906,-71.005097,"""ROOFTOP""",1993-06-16,3,2014_leak
40982,"""Columbus Ave, Holyoke, MA 01040, USA""",42.205453,-72.63406,"""GEOMETRIC_CENTER""",1993-07-30,3,2014_leak
94043,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-08-02,3,2014_leak
93331,"""Massachusetts, USA""",42.407211,-71.382437,"""APPROXIMATE""",1993-08-11,3,2014_leak
94062,"""1576 Main St, Leicester, MA 01524, USA""",42.246351,-71.934923,"""RANGE_INTERPOLATED""",1993-08-13,3,2014_leak
43427,"""533 Lexington Rd, Concord, MA 01742, USA""",42.45958,-71.33009,"""ROOFTOP""",1993-08-13,3,2014_leak
41637,"""79 Carter Rd, Lynn, MA 01904, USA""",42.481412,-70.955303,"""ROOFTOP""",1993-08-13,3,2014_leak
41847,"""14 Eastern Point Rd, Gloucester, MA 01930, USA""",42.602525,-70.655214,"""ROOFTOP""",1993-09-28,3,2014_leak
41673,"""517 Essex St, Lynn, MA 01902, USA""",42.466983,-70.947499,"""ROOFTOP""",1993-10-04,3,2014_leak
94605,"""490 Worcester St, Wellesley Hills, MA 02481, USA""",42.31121,-71.277335,"""ROOFTOP""",1993-11-29,3,2014_leak
