id,formatted_address,lat,lng,location_type,record_date,grade,record_type
93818,"""Beacon St & Park Dr, Boston, MA 02215, USA""",42.346688,-71.105134,"""APPROXIMATE""",1985-09-16 00:00:00,3,2014_leak
42122,"""282 Main St, Winchester, MA 01890, USA""",42.444362,-71.134975,"""ROOFTOP""",1989-10-04 00:00:00,3,2014_leak
39014,"""N Main St & Hospital Rd, Leominster, MA 01453, USA""",42.540883,-71.759989,"""APPROXIMATE""",1990-04-20 00:00:00,3,2014_leak
42817,"""62 Main St, Melrose, MA 02176, USA""",42.443408,-71.06813,"""RANGE_INTERPOLATED""",1990-04-23 00:00:00,3,2014_leak
93831,"""16 Grove St, Rockland, MA 02370, USA""",42.125897,-70.917963,"""RANGE_INTERPOLATED""",1990-06-07 00:00:00,3,2014_leak
40217,"""455 Mountain Ave, Revere, MA 02151, USA""",42.415803,-71.02505,"""ROOFTOP""",1990-06-13 00:00:00,3,2014_leak
40213,"""105 Thornton St, Revere, MA 02151, USA""",42.40871,-70.997934,"""ROOFTOP""",1990-06-21 00:00:00,3,2014_leak
336417,"""91 Hill St, Weymouth, MA 02189, USA""",42.216439,-70.917428,"""ROOFTOP""",1990-07-16 00:00:00,3,2014_leak
336411,"""72 Charles Diersch St, Weymouth, MA 02189, USA""",42.206097,-70.92121,"""ROOFTOP""",1990-07-16 00:00:00,3,2014_leak
39137,"""5 Mutton Ln, East Weymouth, MA 02189, USA""",42.194899,-70.929616,"""ROOFTOP""",1990-07-17 00:00:00,3,2014_leak
39061,"""25 Rucille Ave, Weymouth, MA 02188, USA""",42.202484,-70.967551,"""ROOFTOP""",1990-07-17 00:00:00,3,2014_leak
39131,"""35 Great Republic Ave, South Weymouth, MA 02190, USA""",42.17501,-70.943895,"""ROOFTOP""",1990-07-18 00:00:00,3,2014_leak
39095,"""157 Pearl St, North Weymouth, MA 02191, USA""",42.237394,-70.947202,"""ROOFTOP""",1990-07-31 00:00:00,3,2014_leak
39093,"""209 Idlewell Blvd, Weymouth, MA 02188, USA""",42.233128,-70.954007,"""ROOFTOP""",1990-08-01 00:00:00,3,2014_leak
