ids_2014,ids_2015
42122,42122
336411,336411
336417,336417
39061,39061
39131,39131
39095,39095
39092,39092
93176,93176
93178,93178
41546,41546
41944,41944
42089,42089
42441,42441
42241,42241
93203,93203
41541,41541
42619,42619
38861,38861
39070,39070
42311,42311
42428,42428
41360,41360
39206,39206
39974,39974
40008,40008
39207,39207
39314,39314
39306,39306
41527,41527
41147,41147
41990,41990
41153,41153
39588,39588
40322,40322
39100,39100
39713,39713
43427,43427
94062,94062
41637,41637
41847,41847
41673,41673
94605,94605
39961,39961
39952,39952
39338,39338
39385,39385
39383,39383
39366,39366
39423,39423
39359,39359
38863,38863
39278,39278
41650,41650
41651,41651
41402,41402
41642,41642
39970,39970
93483,93483
42039,42039
94351,94351
41682,41682
40405,40405
94385,94385
94390,94390
39168,39168
39584,39584
40510,40510
39043,39043
94509,94509
94564,94564
40719,40719
40720,40720
40725,40725
40661,40661
40596,40596
93793,93793
96528,96528
97020,97020
97390,97390
100709,100709
97810,97810
97814,97814
97866,97866
97868,97868
98148,98148
98251,98251
98477,98477
98865,98865
99212,99212
101032,101032
99449,99449
99450,99450
99746,99746
99725,99725
100038,100038
100579,100579
101768,101768
101817,101817
101854,101854
102872,102872
105458,105458
103515,103515
105662,105662
102977,102977
103050,103050
108652,108652
103289,103289
105410,105410
103735,103735
104282,104282
104284,104284
103645,103645
103979,103979
105390,105390
103977,103977
104328,104328
103933,103933
103972,103972
104287,104287
104026,104026
104742,104742
105538,105538
108133,108133
105764,105764
104865,104865
105304,105304
106991,106991
107164,107164
108064,108064
106149,106149
108123,108123
108719,108719
118904,118904
108096,108096
120044,120044
106911,106911
108028,108028
108037,108037
108291,108291
109184,109184
109443,109443
109444,109444
110519,110519
111489,111489
111494,111494
111566,111566
111995,111995
112010,112010
111919,111919
112868,112868
112773,112773
112373,112373
112800,112800
113613,113613
113636,113636
113637,113637
113919,113919
116230,116230
113688,113688
113720,113720
113507,113507
113524,113524
113607,113607
114144,114144
114272,114272
114275,114275
114279,114279
114309,114309
114310,114310
114313,114312
114312,114312
114328,114328
114329,114329
114330,114330
116127,116127
115018,115018
115343,115343
121460,121460
115568,115568
115665,115665
115669,115669
115599,115599
121467,121467
121477,121477
121563,121563
116385,116385
116480,116480
119608,119608
118831,118831
118733,118733
118738,118738
119348,119348
120119,120119
120295,120295
120625,120625
120626,120626
120814,120814
121712,121712
121705,121705
121706,121706
121702,121702
121844,121844
121845,121845
122483,122483
122765,122765
123112,123112
123509,123509
123511,123511
123670,123670
123536,123536
124338,124338
124343,124343
124184,124184
124751,124751
124958,124958
124561,124561
124567,124567
124683,124683
124684,124684
124842,124842
124843,124843
124908,124908
125208,125208
125042,125042
125044,125044
125045,125045
125148,125148
125180,125180
125182,125182
125099,125099
125185,125185
125224,125224
125498,125498
125608,125608
125794,125794
125795,125795
125777,125777
125778,125778
125829,125829
126111,126111
125992,125992
126258,126258
126437,126437
126867,126867
126571,126571
126600,126600
126699,126699
126739,126739
126754,126754
126954,126954
127042,127042
127045,127045
127012,127012
127046,127046
127048,127048
127051,127051
127052,127052
127212,127212
127116,127116
127119,127119
127090,127090
127321,127321
127328,127328
127332,127332
127301,127301
127308,127308
127309,127309
127578,127578
127639,127639
127843,127843
127825,127825
127818,127818
127820,127820
128282,128282
127927,127927
127929,127929
128064,128064
127972,127972
128067,128067
128097,128097
128100,128100
128227,128227
128331,128331
128889,128889
128902,128902
128903,128903
129117,129117
129232,129232
129757,129757
129542,129542
129687,129687
129688,129688
129918,129918
130272,130272
130108,130108
130250,130250
130673,130673
130403,130403
130910,130910
131378,131378
144061,144061
145226,145226
146035,146035
146580,146580
147625,147625
148195,148195
148887,148887
148835,148835
148793,148793
149028,149028
149140,149140
149340,149340
149176,149173
149175,149173
149174,149173
149173,149173
149178,149178
149205,149205
149217,149217
149249,149249
150137,150137
151038,151038
150139,150139
150402,150402
150144,150144
150152,150152
152889,152889
152351,152351
152528,152528
152895,152895
152529,152529
152789,152789
153128,153128
153550,153550
153481,153481
153670,153670
153595,153595
154058,154058
153997,153997
153989,153989
154282,154282
154213,154213
154296,154296
154565,154565
155089,155089
155095,155095
155197,155197
155199,155199
156765,156765
155926,155926
155722,155722
155804,155804
156279,156279
156321,156321
156397,156397
195505,195505
156745,156745
156913,156913
156944,156944
157066,157066
157071,157071
157078,157078
157297,157297
158448,158448
157452,157452
157853,157853
158106,158106
158701,158701
158580,158580
161438,161438
160976,160976
161168,161168
161395,161395
189384,189384
190082,190082
189437,189437
190526,190526
189442,189442
190391,190391
190551,190551
190555,190555
190617,190617
190870,190870
190994,190994
190798,190798
190800,190800
190650,190650
191196,191196
190953,190953
191194,191194
191195,191195
191071,191071
191204,191204
191205,191205
191209,191209
191236,191236
191447,191447
191764,191764
191811,191811
191959,191959
192090,192090
192316,192316
192693,192693
192736,192736
263908,263908
192868,192868
194820,194820
193258,193258
193346,193346
194901,194901
194902,194902
194928,194928
194932,194932
194611,194611
194347,194347
194453,194453
194681,194681
194762,194762
196062,196062
196061,196061
195218,195218
196033,196033
195987,195987
196029,196029
196046,196046
195341,195341
195346,195346
195474,195474
195481,195481
195477,195477
195596,195596
195599,195599
196172,196172
198808,198808
197006,197006
196716,196716
197081,197081
197587,197587
198259,198259
197650,197650
197878,197842
197842,197842
197856,197856
197841,197841
198145,198145
198229,198229
198260,198260
198946,198946
198954,198954
199155,199155
199159,199159
199161,199161
198697,198697
198700,198700
198897,198897
198974,198974
198993,198993
198717,198717
199621,199621
199467,199467
199401,199401
199471,199471
199449,199449
200224,200224
200228,200228
200260,200260
200429,200429
200660,200660
200664,200664
200783,200783
200629,200629
210564,210564
210558,210558
210538,210538
210911,210911
211975,211975
212241,212241
211544,211544
211547,211547
212445,212445
212671,212671
214112,214112
214523,214523
214948,214948
214934,214934
215901,215901
215637,215637
215937,215937
215938,215938
215930,215930
215931,215931
215971,215971
229824,229824
216335,216335
216566,216566
217052,217052
336066,336066
217856,217856
217312,217312
217323,217323
217219,217219
217516,217516
217720,217720
217722,217722
217784,217784
217826,217826
218080,218080
218082,218082
229319,229319
219350,219350
219706,219706
223535,223535
223554,223554
219984,219984
219985,219985
219913,219913
220188,220188
220189,220189
220368,220368
220178,220178
220285,220285
220668,220668
220517,220517
221243,221243
221250,221250
220779,220779
221252,221252
220791,220791
221056,221056
225197,225197
220899,220899
221082,221082
227605,227605
221216,221216
221517,221517
222113,222113
221863,221863
