NUMBER,STREET,INTERSECTION,TOWN,CLASSIFIED,REPAIRED,GRADE,
29,ANTHONY,,ACUSHNET,01/23/14,01/23/14,1,24
20,ANTHONY,,ACUSHNET,01/28/14,01/28/14,2,grade 3 leaks
,MIDDLE,,ACUSHNET,09/23/13,02/02/14,3,
70,SLOCUM,,ACUSHNET,02/01/14,02/10/14,2,
71,SLOCUM,,ACUSHNET,02/11/14,02/11/14,2,
14,MYRTLE,,ACUSHNET,02/14/14,02/14/14,2,
47,WING,,ACUSHNET,02/21/14,02/21/14,1,
8,NYE,,ACUSHNET,02/21/14,02/21/14,1,
43,HOPE,,ACUSHNET,02/24/14,02/24/14,1,
119,LAWSON,,ACUSHNET,05/10/14,05/10/14,1,
33,JEAN,,ACUSHNET,06/18/14,06/18/14,2,
62,LAURA-KEENE,,ACUSHNET,04/04/14,07/28/14,2,
264,N-MAIN,,ACUSHNET,06/25/14,08/04/14,2,
,ANTHONY,AT NEW YORK AVE,ACUSHNET,07/16/14,08/27/14,2,
,RIVET,AT 58 S-MAIN ST,ACUSHNET,04/04/14,09/05/14,,
18,ORCHARD,,ACUSHNET,09/10/14,09/10/14,,
82,PECKHAM,,ACUSHNET,10/22/14,10/22/14,2,
,HOPE,AT S-MAIN ST,ACUSHNET,04/03/14,12/04/14,2,
126,PECKHAM,,ACUSHNET,12/13/14,12/14/14,,
87,PECKHAM,,ACUSHNET,12/21/14,12/21/14,1,
27,SHERBORN,,ASHLAND,01/02/14,01/13/14,2,
207,E-UNION,,ASHLAND,02/01/14,02/01/14,2,
61,WARREN,,ASHLAND,01/30/14,02/10/14,2,
163-165,CHERRY,,ASHLAND,02/20/14,02/20/14,1,
,DONNA-LEE,AT EDWARDS DR,ASHLAND,03/08/14,03/12/14,2,
54,MOUNTAIN-GATE,,ASHLAND,03/25/14,03/26/14,1,
157,LELAND-FARM,,ASHLAND,03/28/14,03/28/14,1,
4,WENZELL,,ASHLAND,04/02/14,04/03/14,1,
16,UNION,,ASHLAND,04/02/14,04/15/14,,
,WAVERLY,,ASHLAND,04/02/14,04/17/14,3,
10,CEDAR-HILL,,ASHLAND,05/02/14,05/02/14,1,
355,CHESTNUT,,ASHLAND,05/13/14,05/14/14,2,
225,PLEASANT,,ASHLAND,05/16/14,05/16/14,1,
202,AMERICA,,ASHLAND,05/19/14,05/19/14,2,
33,W-UNION,,ASHLAND,06/09/14,06/09/14,1,
27,STONEY-BROOK,,ASHLAND,06/18/14,06/18/14,1,
36,SUMMIT,,ASHLAND,07/18/14,07/18/14,1,
33,CARRIAGE-HSE,,ASHLAND,08/28/14,08/28/14,2,
47,NICKERSON,,ASHLAND,08/29/14,08/29/14,2,
24,HUNDRED-OAKS,,ASHLAND,09/15/14,09/15/14,,
123,OAK,,ASHLAND,10/16/14,10/16/14,1,
330,PLEASANT,,ASHLAND,10/24/14,10/24/14,1,
330,PLEASANT,,ASHLAND,10/24/14,10/24/14,1,
353,AMERICA,,ASHLAND,11/08/14,11/08/14,1,
353,AMERICA,,ASHLAND,11/08/14,11/08/14,1,
OPP 292,AMERICA,,ASHLAND,11/13/14,11/13/14,1,
66,HIGLEY,,ASHLAND,05/27/14,12/04/14,2,
201,WINTER,,ASHLAND,08/18/14,12/22/14,2,
300,ELIOT,,ASHLAND,04/03/14,12/27/14,2,
131,WAVERLY,,ASHLAND,08/18/14,12/27/14,2,
12,FOREST,,AUBURN,06/28/14,06/28/14,1,
17,WELLMAN,,AUBURN,07/06/14,07/06/14,3,
77,SOUTHBRIDGE,,AUBURN,10/20/14,10/20/14,1,
59-61,RESERVOIR,,CAMBRIDGE,12/05/13,01/06/14,2,
59-61,RESERVOIR,,CAMBRIDGE,01/06/14,01/06/14,1,
34,BROOKFORD,,CAMBRIDGE,01/07/14,01/07/14,1,
251,BRATTLE,,CAMBRIDGE,12/03/13,01/09/14,2,
101,FAYERWEATHER,,CAMBRIDGE,01/09/14,01/09/14,1,
99,FAYERWEATHER,,CAMBRIDGE,01/10/14,01/10/14,1,
93,GORE,,CAMBRIDGE,01/11/14,01/12/14,1,
99,ALPINE,,CAMBRIDGE,11/12/13,01/13/14,2,
,THIRD,,CAMBRIDGE,11/26/13,01/13/14,2,
103,FAYERWEATHER,,CAMBRIDGE,01/13/14,01/13/14,1,
26,HARDWICK,,CAMBRIDGE,01/13/14,01/13/14,1,
198,RINDGE,,CAMBRIDGE,01/14/14,01/14/14,1,
76,COOLIDGE,,CAMBRIDGE,01/15/14,01/15/14,1,
193,RINDGE,,CAMBRIDGE,01/15/14,01/15/14,2,
85,FAYERWEATHER,,CAMBRIDGE,01/16/14,01/16/14,1,
39-41,FAYERWEATHER,,CAMBRIDGE,01/16/14,01/20/14,2,
125,PORTLAND,,CAMBRIDGE,01/23/14,01/23/14,1,
857,MASS,,CAMBRIDGE,01/20/14,01/24/14,2,
102,APPLETON,,CAMBRIDGE,01/27/14,01/27/14,1,
10,ELLERY,,CAMBRIDGE,01/28/14,01/28/14,1,
730,MAIN,,CAMBRIDGE,01/30/14,01/30/14,1,
39,FAYERWEATHER,,CAMBRIDGE,01/24/14,02/03/14,2,
19,BLACKSTONE,,CAMBRIDGE,02/04/14,02/04/14,1,
32,HIGHLAND,,CAMBRIDGE,01/31/14,02/08/14,2,
32,HIGHLAND,,CAMBRIDGE,02/09/14,02/09/14,2,
703,MOUNT AUBURN,,CAMBRIDGE,10/30/13,02/10/14,3,
19,BLACKSTONE,,CAMBRIDGE,01/27/14,02/10/14,2,
149,LARCH,,CAMBRIDGE,02/10/14,02/10/14,1,
40-42,MT-VERNON,,CAMBRIDGE,02/12/14,02/12/14,1,
11,FRESH-POND,,CAMBRIDGE,02/15/14,02/15/14,1,
37,FAYERWEATHER,,CAMBRIDGE,02/07/14,02/17/14,2,
39,FAYERWEATHER,,CAMBRIDGE,02/17/14,02/17/14,1,
29,HURON,,CAMBRIDGE,02/18/14,02/18/14,1,
5,CONCORD,,CAMBRIDGE,02/19/14,02/19/14,1,
343,BROADWAY,,CAMBRIDGE,01/28/14,02/24/14,2,
424,WALDEN,,CAMBRIDGE,02/21/14,02/24/14,2,
,INMAN,AT BROADWAY,CAMBRIDGE,02/24/14,02/24/14,1,
424,WALDEN,,CAMBRIDGE,02/24/14,02/24/14,1,
16,SHEPARD,,CAMBRIDGE,12/06/13,02/25/14,2,
410,WALDEN,,CAMBRIDGE,02/19/14,02/19/14,1,
410,WALDEN,,CAMBRIDGE,02/12/14,02/20/14,2,
,WALDEN,,CAMBRIDGE,01/28/14,02/24/14,2,
77,FAYERWEATHER,,CAMBRIDGE,02/21/14,02/24/14,2,
2512,MASS,,CAMBRIDGE,02/15/14,02/25/14,2,
94,FAYERWEATHER,,CAMBRIDGE,03/09/14,03/09/14,1,
,STATE,AT 810 MAIN,CAMBRIDGE,03/10/14,03/10/14,1,
424,WALDEN,,CAMBRIDGE,03/10/14,03/10/14,1,
424,WALDEN,,CAMBRIDGE,03/10/14,03/10/14,1,
,PORTLAND,AT 600 TECHNOLOGY SQ,CAMBRIDGE,03/12/14,03/12/14,1,
33,ELMWOOD,,CAMBRIDGE,03/13/14,03/13/14,2,
409,WALDEN,,CAMBRIDGE,03/14/14,03/14/14,1,
10,BATES,,CAMBRIDGE,03/17/14,03/17/14,1,
,HURON,,CAMBRIDGE,03/17/14,03/17/14,1,
257-259,BEACON,,CAMBRIDGE,01/28/14,03/21/14,2,
183,BRATTLE,,CAMBRIDGE,03/21/14,03/21/14,2,
333,WEBSTER,,CAMBRIDGE,03/23/14,03/23/14,1,
333,WEBSTER,,CAMBRIDGE,03/23/14,03/24/14,2,
22,FAYERWEATHER,,CAMBRIDGE,03/25/14,03/25/14,1,
22,HIGHLAND,,CAMBRIDGE,09/03/13,04/01/14,2,
2222,MASS,,CAMBRIDGE,11/27/13,04/03/14,2,
26,ELMWOOD,,CAMBRIDGE,04/03/14,04/04/14,2,
115-117,INMAN,,CAMBRIDGE,04/04/14,04/04/14,1,
74 R,FAYERWEATHER,,CAMBRIDGE,04/14/14,04/14/14,1,
,STATE,AT 810 MAIN,CAMBRIDGE,03/16/14,04/15/14,2,
,HURON,AT RESERVOIR AVE,CAMBRIDGE,04/17/14,04/17/14,1,
74,RESERVOIR,,CAMBRIDGE,04/18/14,04/18/14,1,
,BRATTLE,AT KENNEDY RD,CAMBRIDGE,08/21/13,04/22/14,3,
,KENNEDY,AT BRATTLE ST,CAMBRIDGE,04/13/14,04/22/14,2,
59-61,RESERVOIR,,CAMBRIDGE,04/06/14,04/23/14,2,
58,RESERVOIR,,CAMBRIDGE,04/25/14,04/25/14,1,
200,FAYERWEATHER,,CAMBRIDGE,05/01/14,05/01/14,1,
54,RESERVOIR,,CAMBRIDGE,05/01/14,05/01/14,1,
2-4,IVY,,CAMBRIDGE,05/02/14,05/02/14,1,
225,BINNEY,,CAMBRIDGE,11/25/13,05/08/14,2,
,WALDEN,AT SAVILLE ST,CAMBRIDGE,05/08/14,05/08/14,1,
46,RESERVOIR,,CAMBRIDGE,05/12/14,05/12/14,1,
119,SCIARAPPA,,CAMBRIDGE,05/12/14,05/12/14,1,
254,CONCORD,,CAMBRIDGE,05/19/14,05/19/14,1,
280,CONCORD,,CAMBRIDGE,05/21/14,05/21/14,1,
240,CONCORD,,CAMBRIDGE,05/22/14,05/22/14,1,
279,CONCORD,,CAMBRIDGE,05/22/14,05/22/14,1,
121,APPLETON,,CAMBRIDGE,05/23/14,05/23/14,1,
3,FOCH,,CAMBRIDGE,05/23/14,05/23/14,1,
58,HIGHLAND,,CAMBRIDGE,05/23/14,05/23/14,1,
170,SHERMAN,,CAMBRIDGE,10/22/13,05/28/14,2,
55-57,RESERVOIR,,CAMBRIDGE,06/03/14,06/03/14,2,
168,HAMPSHIRE,,CAMBRIDGE,06/13/14,06/13/14,1,
74-76,CHILTON,,CAMBRIDGE,06/13/14,06/13/14,1,
102-104,OTIS,,CAMBRIDGE,06/16/14,06/16/14,1,
30,HOWARD,,CAMBRIDGE,06/17/14,06/17/14,1,
27-29,BLAKESLEE,,CAMBRIDGE,06/17/14,06/17/14,1,
,FAYERWEATHER,,CAMBRIDGE,06/24/14,06/24/14,2,
386,HURON,,CAMBRIDGE,06/25/14,06/25/14,1,
43,SAVILLE,,CAMBRIDGE,06/26/14,06/26/14,1,
141,FAYERWEATHER,,CAMBRIDGE,07/02/14,07/02/14,1,
132,WESTERN,,CAMBRIDGE,07/09/14,07/09/14,1,
221,CONCORD,,CAMBRIDGE,07/12/14,07/12/14,1,
,FAYERWEATHER,AT 61 SAVILLE ST,CAMBRIDGE,07/14/14,07/14/14,1,
,HIGHLAND,AT APPLETON ST,CAMBRIDGE,07/14/14,07/14/14,1,
,RESERVOIR,AT HIGHLAND ST,CAMBRIDGE,07/20/14,07/20/14,2,
56,CREIGHTON,,CAMBRIDGE,07/21/14,07/21/14,1,
275,CONCORD,,CAMBRIDGE,07/22/14,07/22/14,1,
115,SECOND,,CAMBRIDGE,07/22/14,07/22/14,1,
,THIRD,AT POTTER ST,CAMBRIDGE,07/23/14,07/23/14,1,
267,CONCORD,,CAMBRIDGE,07/24/14,07/25/14,2,
311,WEBSTER,,CAMBRIDGE,07/25/14,07/25/14,1,
