HOPEDALE,PARK,,12/31/14,3,
NATICK,29 MARION,,12/31/14,3,
NATICK,6 STRATHMORE,,12/31/14,3,
NORTHBORO,25 CATHERINE,,12/31/14,3,
NORTHBORO,22 STONE,,12/31/14,3,
NORTHBORO,93 WASHBURN,,12/31/14,3,
HOLLISTON,132 BROOK,,12/30/14,3,
NATICK,COOPER,,12/30/14,3,
NORTHBORO,6 OTIS,,12/30/14,3,
NORTHBORO,41 THOREAU,,12/30/14,3,
NORTHBORO,42 THOREAU,,12/30/14,3,
HYDE PARK,750 TRUMAN,,12/29/14,3,
HYDE PARK,776 TRUMAN,,12/29/14,3,
HYDE PARK,842 TRUMAN,,12/29/14,3,
NEW BEDFORD,138 STATE,@ FRANKLIN ST,12/29/14,3,
UPTON,21 WILLIAMS,,12/29/14,3,
WESTBOROUGH,HOPKINTON,,12/29/14,3,
WESTBOROUGH,WEST MAIN,,12/29/14,3,
WESTWOOD,6 DOWNEY,@ HAWK TREE DR,12/29/14,3,
WESTWOOD,GLANDORE,,12/29/14,3,
WESTWOOD,253 POND,,12/29/14,3,
WESTWOOD,91 STRASSER,,12/29/14,3,
WORCESTER,115 FLAGG,,12/29/14,3,
HYDE PARK,3-5 THATCHER,,12/26/14,3,
HYDE PARK,706 TRUMAN,,12/26/14,3,
HYDE PARK,746 TRUMAN,,12/26/14,3,
NATICK,327 WEST CENTRAL,,12/26/14,3,
NATICK,50 PLEASANT,,12/26/14,3,
NATICK,6 PLEASANT,,12/26/14,3,
NATICK,228 POND,,12/26/14,3,
NATICK,SPEEN,,12/26/14,3,
NATICK,241 WEST CENTRAL,,12/26/14,3,
NATICK,58 WEST CENTRAL,,12/26/14,3,
NATICK,16 WESTERN,,12/26/14,3,
NATICK,35 WHITTIER,,12/26/14,3,
UXBRIDGE,21 NORTH MAIN,,12/26/14,3,
DEDHAM,129-135 BONHAM,,12/24/14,3,
HYDE PARK,35 SANFORD,,12/24/14,3,
HYDE PARK,189 SHERRIN,,12/24/14,3,
HYDE PARK,31 SUMMER,,12/24/14,3,
HYDE PARK,74 SUMMER,,12/24/14,3,
NATICK,10 VERMONT,,12/24/14,3,
NATICK,18 VERMONT,,12/24/14,3,
WESTWOOD,57 BRIAR,,12/24/14,3,
WESTWOOD,60 BRIAR,,12/24/14,3,
WESTWOOD,72 BRIAR,,12/24/14,3,
WESTWOOD,125 FENSVIEW,,12/24/14,3,
WESTWOOD,205 WEATHERBEE,,12/24/14,3,
WESTWOOD,36 WOODRIDGE,,12/24/14,3,
WESTWOOD,37 WOODRIDGE,,12/24/14,3,
ASHLAND,337 CHESTNUT,,12/23/14,3,
CAMBRIDGE,400 MOUNT AUBURN,,12/23/14,2,
FRAMINGHAM,26 CRESTWOOD,,12/23/14,3,
HYDE PARK,9 PERKINS,,12/23/14,3,
HYDE PARK,20 RILEY,,12/23/14,3,
HYDE PARK,1916 RIVER,,12/23/14,3,
HYDE PARK,860 RIVER,,12/23/14,3,
NATICK,10 MICHIGAN,,12/23/14,3,
NATICK,MICHIGAN,,12/23/14,3,
NATICK,319 NORTH MAIN,,12/23/14,3,
NATICK,338 NORTH MAIN,,12/23/14,3,
NATICK,97 NORTH MAIN,,12/23/14,3,
NATICK,15 WATER,,12/23/14,3,
NATICK,20 WATER,,12/23/14,3,
NATICK,37 WELLESLEY,,12/23/14,3,
NEEDHAM,HIGH ROCK,@ LINDEN ST,12/23/14,3,
NEEDHAM,98 LINCOLN,,12/23/14,3,
NEEDHAM,LINDEN,,12/23/14,3,
NEEDHAM,WEBSTER,,12/23/14,3,
WORCESTER,364-366 HAMILTON,,12/23/14,3,
ASHLAND,40 SUMMER,,12/22/14,3,
HYDE PARK,91 CHILD,,12/22/14,3,
HYDE PARK,731 METROPOLITAN,,12/22/14,3,
HYDE PARK,920 METROPOLITAN,,12/22/14,3,
HYDE PARK,MILTON,,12/22/14,3,
MARLBORO,19 FITZGERALD,,12/22/14,3,
NATICK,BODEN,@ TAMARACK RD,12/22/14,3,
NATICK,GLEN,,12/22/14,3,
NATICK,15 WASHINGTON,@ HUNTER HILL RD,12/22/14,3,
NEEDHAM,67 NORFOLK,,12/22/14,3,
NEEDHAM,17 RIDGEWAY,,12/22/14,3,
