TOWN,"STREET
NUMBER",STREET NAME,"INTERSECTING
STREET","DATE
CLASSIFIED","DATE
REPAIRED","LEAK
GRADE",Merged addresses,,unrepaired leaks at the start of the year,29
NEEDHAM,147,PRINCE,,01-Oct-2003,21-Nov-2015,2,147 PRINCE,,,
CAMBRIDGE,,MASSACHUSETTS,@ CLARENDON AVENUE,16-Apr-2014,28-Sep-2015,3,MASSACHUSETTS,,,
CAMBRIDGE,2512,MASSACHUSETTS,@ COTTAGE PARK AVENUE,16-Apr-2014,28-Sep-2015,3,2512 MASSACHUSETTS,,,
CAMBRIDGE,2029,MASSACHUSETTS,BLAKE STREET,07-May-2014,02-Jan-2015,2,2029 MASSACHUSETTS,,,
FAIRHAVEN,31,BRAE,,08-May-2014,11-Feb-2015,3,31 BRAE,,,
SOMERVILLE,674,BROADWAY,,12-May-2014,18-Nov-2015,2,674 BROADWAY,,,
WORCESTER,,CHANDLER,@ PIEDMONT STREET,21-May-2014,03-Sep-2015,2,CHANDLER,,,
DEDHAM,87,THOMAS,BUSSEY STREET,12-Jun-2014,16-Mar-2015,2,87 THOMAS,,,
FRAMINGHAM,673,CONCORD,PHELPS ROAD,25-Jun-2014,01-May-2015,2,673 CONCORD,,,
FAIRHAVEN,326,HUTTLESTON,STONE STREET,29-Jul-2014,06-Mar-2015,2,326 HUTTLESTON,,,
CAMBRIDGE,,MAGAZINE,@ PUTNAM AVENUE,04-Aug-2014,06-Jan-2015,2,MAGAZINE,,,
FAIRHAVEN,30-33,BRAE,,08-Aug-2014,11-Feb-2015,3,30-33 BRAE,,,
FRAMINGHAM,661,CONCORD,GUADAL CANAL,20-Aug-2014,12-Jan-2015,2,661 CONCORD,,,
PLYMOUTH,89A,WARREN,,08-Sep-2014,03-Sep-2015,2,89A WARREN,,,
CAMBRIDGE,32,QUINCY,BROADWAY,16-Sep-2014,23-Apr-2015,2,32 QUINCY,,,
HOPKINTON,180,ASH,CHESTNUT ST,09-Oct-2014,02-Jan-2015,2,180 ASH,,,
HYDE PARK,87,WINDHAM,,10-Oct-2014,02-Jan-2015,2,87 WINDHAM,,,
CAMBRIDGE,45-47,CAMERON,@ SEVEN PINES,17-Oct-2014,02-Jan-2015,2,45-47 CAMERON,,,
HYDE PARK,54,COMO,,22-Oct-2014,26-Jan-2015,2,54 COMO,,,
CAMBRIDGE,268,WALDEN,,07-Nov-2014,02-Jan-2015,2,268 WALDEN,,,
HOPKINTON,353,WOOD,SPRING ST,07-Nov-2014,05-Jan-2015,2,353 WOOD,,,
CAMBRIDGE,33,KIRKLAND,KIRKLAND PL,20-Nov-2014,27-Mar-2015,2,33 KIRKLAND,,,
HYDE PARK,804,HYDE PARK,,21-Nov-2014,14-Jan-2015,2,804 HYDE PARK,,,
WORCESTER,142,HIGHLAND,WEST ST,21-Nov-2014,08-Apr-2015,2,142 HIGHLAND,,,
NEEDHAM,19,BARRETT,,25-Nov-2014,16-Jan-2015,2,19 BARRETT,,,
CAMBRIDGE,410,MEMORIAL,,04-Dec-2014,14-Apr-2015,3,410 MEMORIAL,,,
NATICK,327,WEST CENTRAL,,26-Dec-2014,27-Mar-2015,2,327 WEST CENTRAL,,,
HYDE PARK,315-323,WEST,,30-Dec-2014,23-Jan-2015,3,315-323 WEST,,,
ASHLAND,108,PROSPECT,,01-Jan-2015,01-Jan-2015,1,108 PROSPECT,,,
DEDHAM,146,VINCENT,,02-Jan-2015,02-Jan-2015,2,146 VINCENT,,,
MARLBORO,169,DICENZO,,02-Jan-2015,02-Jan-2015,2,169 DICENZO,,,
MILFORD,23,CORNELL,,02-Jan-2015,02-Jan-2015,1,23 CORNELL,,,
NEW BEDFORD,264,WELD,SUMMER ST,02-Jan-2015,02-Jan-2015,1,264 WELD,,,
NEW BEDFORD,19,DUDLEY,,02-Jan-2015,02-Jan-2015,1,19 DUDLEY,,,
NEW BEDFORD,94,WILLARD,,02-Jan-2015,02-Jan-2015,1,94 WILLARD,,,
NEW BEDFORD,,OLD PLAINVILLE,,02-Jan-2015,02-Jan-2015,2,OLD PLAINVILLE,,,
WESTBOROUGH,13,WHITNEY,,02-Jan-2015,02-Jan-2015,1,13 WHITNEY,,,
WORCESTER,186,PRESCOTT,NORTH ST,02-Jan-2015,02-Jan-2015,1,186 PRESCOTT,,,
CAMBRIDGE,181,MASSACHUSETTS,ALBANY ST,02-Jan-2015,03-Jan-2015,1,181 MASSACHUSETTS,,,
SOMERVILLE,,LINWOOD,@ 259 MCGRATH HWY,02-Jan-2015,05-Jan-2015,2,LINWOOD,,,
SOMERVILLE,,LINWOOD,@ MCGRATH HWY,02-Jan-2015,05-Jan-2015,3,LINWOOD,,,
FRAMINGHAM,35,NEWTON,DAY HILL RD,02-Jan-2015,06-Jan-2015,2,35 NEWTON,,,
NEW BEDFORD,167,RICHMOND,TRINITY ST,02-Jan-2015,06-Jan-2015,2,167 RICHMOND,,,
SHREWSBURY,365,LAKE,HEMMINGWAY ST,02-Jan-2015,06-Jan-2015,2,365 LAKE,,,
MILLBURY,23,LESLIE,,02-Jan-2015,07-Jan-2015,2,23 LESLIE,,,
FRAMINGHAM,,GRANT,@ DAVIS ST,02-Jan-2015,16-Jan-2015,2,GRANT,,,
ACUSHNET,236,MAIN,LISA AVE,02-Jan-2015,27-Feb-2015,3,236 MAIN,,,
WORCESTER,107,ILLINOIS,,02-Jan-2015,21-Sep-2015,1,107 ILLINOIS,,,
MARLBORO,52,NEWTON,,03-Jan-2015,01-Sep-2015,1,52 NEWTON,,,
SHREWSBURY,365,LAKE,HOWE AVE,04-Jan-2015,06-Jan-2015,2,365 LAKE,,,
DEDHAM,39,CHICKERING,,05-Jan-2015,05-Jan-2015,2,39 CHICKERING,,,
DEDHAM,146,VINCENT,,05-Jan-2015,05-Jan-2015,2,146 VINCENT,,,
FRAMINGHAM,24,TARALLI,,05-Jan-2015,05-Jan-2015,1,24 TARALLI,,,
KINGSTON,33,SUMMER,,05-Jan-2015,05-Jan-2015,1,33 SUMMER,,,
NEEDHAM,108,ELLICOTT,,05-Jan-2015,05-Jan-2015,2,108 ELLICOTT,,,
MARLBORO,129,PHEASANT HILL,FARM ROAD,05-Jan-2015,06-Jan-2015,2,129 PHEASANT HILL,,,
MARLBORO,106,ELM,FRANKLIN ST,05-Jan-2015,09-Jan-2015,2,106 ELM,,,
CAMBRIDGE,,HIGHLAND,@ RESERVOIR ST,05-Jan-2015,15-Jan-2015,2,HIGHLAND,,,
HUDSON,26,STRATTON,STRATTON RD,05-Jan-2015,18-May-2015,2,26 STRATTON,,,
CAMBRIDGE,,WINDSOR,@ HARVARD ST,06-Jan-2015,06-Jan-2015,1,WINDSOR,,,
HOPKINTON,,ASH,@ S. MILL ST,06-Jan-2015,06-Jan-2015,1,ASH,,,
MARLBORO,119,MAPLEWOOD,,06-Jan-2015,06-Jan-2015,1,119 MAPLEWOOD,,,
MILFORD,26,TRINITY,,06-Jan-2015,06-Jan-2015,1,26 TRINITY,,,
NATICK,5,COOLIDGE,,06-Jan-2015,06-Jan-2015,1,5 COOLIDGE,,,
WORCESTER,,EUNICE,@ CLARK ST,06-Jan-2015,06-Jan-2015,2,EUNICE,,,
HOPKINTON,,WOOD,@ WHISPER WAY,06-Jan-2015,19-Jan-2015,2,WOOD,,,
NEEDHAM,119,NOANETT,GARY RD,06-Jan-2015,24-Mar-2015,2,119 NOANETT,,,
CAMBRIDGE,678,MASSACHUSETTS,WESTERN AVE,07-Jan-2015,07-Jan-2015,1,678 MASSACHUSETTS,,,
FRAMINGHAM,51,BEACON,,07-Jan-2015,07-Jan-2015,1,51 BEACON,,,
HUDSON,14,MASON,,07-Jan-2015,07-Jan-2015,1,14 MASON,,,
MARLBORO,406,LINCOLN,WINTHROP ST,07-Jan-2015,07-Jan-2015,1,406 LINCOLN,,,
WORCESTER,101,AYLESBURY,,07-Jan-2015,14-Jan-2015,2,101 AYLESBURY,,,
MARLBORO,,BRIMSMEAD,@ BOLTON ST,07-Jan-2015,16-Jan-2015,2,BRIMSMEAD,,,
ACUSHNET,,SLOCUM,@ BITTEAU ST,07-Jan-2015,18-Feb-2015,3,SLOCUM,,,
CAMBRIDGE,31,WINTER,SCIARAPPA ST,08-Jan-2015,08-Jan-2015,1,31 WINTER,,,
MARLBORO,,WINTHROP,LINCOLN ST,08-Jan-2015,08-Jan-2015,1,WINTHROP,,,
MILFORD,50,EMMONS,,08-Jan-2015,08-Jan-2015,1,50 EMMONS,,,
