TOWN,ADDRESS,INTERSECTING STREET,DATE CLASSIFIED,LEAK GRADE,unrepaired leaks at the start of the year,2629
NEEDHAM,WEST,@ ELIOT RD,15-Nov-2000,3,,
ROCHESTER,4 TABER,,13-Sep-2001,3,,
NEW BEDFORD,1129 JOYCE,,31-May-2002,3,,
HYDE PARK,45 COMO,,20-Jun-2005,3,,
WORCESTER,11 HADWEN,,21-Jun-2005,3,,
WESTWOOD,77 PARKER,,27-Jul-2005,3,,
WESTWOOD,251-253 WASHINGTON,,28-Jul-2005,3,,
FRAMINGHAM,71 WILSON,,09-Aug-2005,3,,
FAIRHAVEN,295 MAIN,,28-Oct-2005,3,,
WORCESTER,5 LYFORD,,15-Jul-2008,3,,
FRAMINGHAM,334 SALEM-END,,28-Jan-2010,3,,
FRAMINGHAM,441 SALEM-END,,12-Feb-2010,3,,
WESTWOOD,436 WASHINGTON,,23-Apr-2010,3,,
FRAMINGHAM,324 WINTER,,10-May-2010,3,,
DEDHAM,53 SAVIN,,17-May-2010,3,,
DEDHAM,87 ROSEMARY,,30-Jun-2010,3,,
DEDHAM,62 NEEDHAM,,31-Aug-2010,3,,
FRAMINGHAM,CONCORD,@ ABERDEEN ROAD,17-Sep-2010,3,,
FRAMINGHAM,550 WINTER,,21-Sep-2010,3,,
NEEDHAM,1191 GREENDALE,,07-Oct-2010,3,,
NEEDHAM,1711 CENTRAL,,18-Nov-2010,3,,
FRAMINGHAM,14 WELD,,19-Nov-2010,3,,
NEEDHAM,57 MELROSE,,29-Nov-2010,3,,
NEEDHAM,67 GREEN,,01-Dec-2010,3,,
DARTMOUTH,142 STATE,,04-Mar-2011,3,,
GRAFTON,6 WORCESTER,,21-Mar-2011,3,,
MILFORD,28 WEST,,24-Mar-2011,3,,
FRAMINGHAM,661 COCHITUATE,,28-Mar-2011,3,,
FRAMINGHAM,100 WORCESTER,,04-Apr-2011,3,,
CAMBRIDGE,113 SECOND,,22-Apr-2011,3,,
NEW BEDFORD,198 ALLEN,,01-Jun-2011,3,,
WORCESTER,3 IMPERIAL,,01-Jun-2011,3,,
NATICK,12 OXBOW,,22-Jul-2011,3,,
PLYMOUTH,190 VIKING,,16-Aug-2011,3,,
HOPKINTON,17-19 THAYER HEIGHTS,,21-Sep-2011,3,,
NEEDHAM,1200 GREAT-PLAIN,,14-Oct-2011,3,,
NEEDHAM,1200 GREAT-PLAIN,,14-Oct-2011,3,,
FAIRHAVEN,PRINCE,,28-Oct-2011,3,,
FRAMINGHAM,25 FOSTER,,28-Oct-2011,3,,
SHREWSBURY,495 HARTFORD,,28-Oct-2011,3,,
MARLBORO,81 ESSEX,,30-Dec-2011,3,,
NEEDHAM,100 CABOT,,02-Mar-2012,3,,
GRAFTON,198 WORCESTER,,15-Mar-2012,3,,
NATICK,1245 WORCESTER,,27-Mar-2012,3,,
NEEDHAM,MARKLEE,@ ALFRETON ROAD,28-Mar-2012,3,,
WESTWOOD,75 PROVIDENCE,,20-Apr-2012,3,,
FRAMINGHAM,38 WESTGATE,,24-Apr-2012,3,,
FRAMINGHAM,40 WESTGATE,,24-Apr-2012,3,,
CAMBRIDGE,351 PEARL,,26-Apr-2012,3,,
FRAMINGHAM,35 VAILLENCOURT,,26-Apr-2012,3,,
FRAMINGHAM,8 VIGUE,,01-May-2012,3,,
CAMBRIDGE,36 TREMONT,,04-May-2012,3,,
GRAFTON,143 LORDVALE,,08-May-2012,3,,
FRAMINGHAM,4 ALAN,,11-May-2012,3,,
FRAMINGHAM,15 BRIDLE-PATH,,11-May-2012,3,,
FRAMINGHAM,4 LOMAS,,15-May-2012,3,,
FRAMINGHAM,23 MONTGOMERY,,15-May-2012,3,,
GRAFTON,9 ELIZABETH,,15-May-2012,3,,
GRAFTON,3 WILLIAM,,15-May-2012,3,,
FRAMINGHAM,172 LOCKLAND,,16-May-2012,3,,
FAIRHAVEN,3 HAMLET,,12-Jun-2012,3,,
GRAFTON,5 HARDING,,14-Jun-2012,3,,
FRAMINGHAM,88 DAVIDSON,,22-Jun-2012,3,,
KINGSTON,146 PEMBROKE,,27-Jun-2012,3,,
KINGSTON,2 PINE,,27-Jun-2012,3,,
FRAMINGHAM,23 LOWE,,28-Jun-2012,3,,
FRAMINGHAM,1139 CONCORD,,03-Jul-2012,3,,
FRAMINGHAM,7 MAGNOLIA,,05-Jul-2012,3,,
FRAMINGHAM,586 PLEASANT,,10-Jul-2012,3,,
SOMERVILLE,22 MADISON,,13-Jul-2012,3,,
FRAMINGHAM,11 SURRO,,16-Jul-2012,3,,
SOMERVILLE,18 LAUREL,,17-Jul-2012,3,,
FRAMINGHAM,1094 WORCESTER,,18-Jul-2012,3,,
FRAMINGHAM,14 JUNIPER,,19-Jul-2012,3,,
NEW BEDFORD,123 BEDFORD,,13-Aug-2012,3,,
WORCESTER,7 MARSTON,,14-Aug-2012,3,,
SOMERVILLE,6 IVALOO,,20-Aug-2012,3,,
FRAMINGHAM,19 HARRISON,,30-Aug-2012,3,,
NEW BEDFORD,950 KINGS,,31-Oct-2012,3,,
BOLTON,12 WOOBLEY,,06-Dec-2012,3,,
WESTWOOD,253 WASHINGTON,,06-Mar-2013,3,,
FRAMINGHAM,68 WATER,,25-Mar-2013,3,,
NORTHBRIDGE,2365 PROVIDENCE,,08-Apr-2013,3,,
DARTMOUTH,401 STATE,,11-Apr-2013,3,,
CAMBRIDGE,299 CONCORD,,12-Apr-2013,3,,
WORCESTER,CHANDLER,,26-Apr-2013,3,,
MILLBURY,32 SULLIVAN,,29-Apr-2013,3,,
MILFORD,185 E-MAIN,,08-May-2013,3,,
FRAMINGHAM,332 IRVING,,09-May-2013,3,,
DEDHAM,39 CHICKERING,,13-May-2013,3,,
DEDHAM,CHICKERING,,13-May-2013,3,,
DEDHAM,12-14 CHURCH,,14-May-2013,3,,
WORCESTER,108 ELM,,14-May-2013,3,,
WORCESTER,70 ELM,,14-May-2013,3,,
WORCESTER,76 ELM,,14-May-2013,3,,
DEDHAM,178 COLBURN,,20-May-2013,3,,
DEDHAM,33 CHICKERING,,30-May-2013,3,,
NEW BEDFORD,SUMMER,,03-Jun-2013,3,,
ASHLAND,200 HOMER,,05-Jun-2013,3,,
WORCESTER,25 HUNNEWELL,,13-Jun-2013,3,,
