id,formatted_address,lat,lng,location_type,record_date,grade,record_type
1,"""West St & Eliot Rd, Needham, MA 02494, USA""",42.293582,-71.243876,"""APPROXIMATE""",2000-11-15,3,2015_leak
2,"""4 Tabor Ln, Rochester, MA 02770, USA""",41.77849,-70.906675,"""RANGE_INTERPOLATED""",2001-09-13,3,2015_leak
3,"""1129 Joyce St, New Bedford, MA 02745, USA""",41.696599,-70.939654,"""ROOFTOP""",2002-05-31,3,2015_leak
4,"""45 Como Rd, Boston, MA 02136, USA""",42.240788,-71.138668,"""ROOFTOP""",2005-06-20,3,2015_leak
5,"""11 Hadwen Rd, Worcester, MA 01602, USA""",42.266466,-71.831699,"""ROOFTOP""",2005-06-21,3,2015_leak
6,"""77 Parker St, Westwood, MA 02090, USA""",42.223585,-71.188293,"""ROOFTOP""",2005-07-27,3,2015_leak
7,"""253 Washington St, Westwood, MA 02090, USA""",42.220203,-71.187902,"""RANGE_INTERPOLATED""",2005-07-28,3,2015_leak
8,"""71 Wilson Ave, Framingham, MA 01702, USA""",42.271724,-71.437366,"""ROOFTOP""",2005-08-09,3,2015_leak
9,"""295 Main St, Fairhaven, MA 02719, USA""",41.653466,-70.908665,"""ROOFTOP""",2005-10-28,3,2015_leak
10,"""5 Lyford St, Worcester, MA 01605, USA""",42.285749,-71.793436,"""ROOFTOP""",2008-07-15,3,2015_leak
11,"""334 Salem End Rd, Framingham, MA 01702, USA""",42.291861,-71.45021,"""ROOFTOP""",2010-01-28,3,2015_leak
12,"""441 Salem End Rd, Framingham, MA 01702, USA""",42.291914,-71.453389,"""ROOFTOP""",2010-02-12,3,2015_leak
13,"""436 Washington St, Westwood, MA 02090, USA""",42.214819,-71.189451,"""ROOFTOP""",2010-04-23,3,2015_leak
14,"""324 Winter St, Framingham, MA 01702, USA""",42.289665,-71.442442,"""ROOFTOP""",2010-05-10,3,2015_leak
15,"""53 Savin St, Dedham, MA 02026, USA""",42.234499,-71.150241,"""ROOFTOP""",2010-05-17,3,2015_leak
