id,formatted_address,lat,lng,location_type,record_date,grade,record_type
42122,"""282 Main St, Winchester, MA 01890, USA""",42.444362,-71.134975,"""ROOFTOP""",1989-10-04,3,2015_leak
40217,"""455 Mountain Ave, Revere, MA 02151, USA""",42.415803,-71.02505,"""ROOFTOP""",1990-06-13,3,2015_leak
336417,"""91 Hill St, Weymouth, MA 02189, USA""",42.216439,-70.917428,"""ROOFTOP""",1990-07-16,3,2015_leak
336411,"""72 Charles Diersch St, Weymouth, MA 02189, USA""",42.206097,-70.92121,"""ROOFTOP""",1990-07-16,3,2015_leak
39061,"""25 Rucille Ave, Weymouth, MA 02188, USA""",42.202484,-70.967551,"""ROOFTOP""",1990-07-17,3,2015_leak
39131,"""35 Great Republic Ave, South Weymouth, MA 02190, USA""",42.17501,-70.943895,"""ROOFTOP""",1990-07-18,3,2015_leak
39095,"""157 Pearl St, North Weymouth, MA 02191, USA""",42.237394,-70.947202,"""ROOFTOP""",1990-07-31,3,2015_leak
39092,"""11 Saunders St, North Weymouth, MA 02191, USA""",42.242002,-70.959862,"""ROOFTOP""",1990-08-06,3,2015_leak
43866,"""24 Agawam Rd, Acton, MA 01720, USA""",42.486552,-71.467365,"""RANGE_INTERPOLATED""",1990-09-12,3,2015_leak
43865,"""Duggan Rd & Townsend Rd, Acton, MA 01720, USA""",42.46572,-71.48591,"""APPROXIMATE""",1990-10-02,3,2015_leak
43797,"""42 Central St, Acton, MA 01720, USA""",42.462453,-71.460545,"""RANGE_INTERPOLATED""",1990-10-22,3,2015_leak
42479,"""52 Sewall St, Newton, MA 02465, USA""",42.343086,-71.228355,"""RANGE_INTERPOLATED""",1990-10-22,3,2015_leak
43799,"""36 Great Rd, Acton, MA 01720, USA""",42.474252,-71.407897,"""ROOFTOP""",1990-10-30,3,2015_leak
43634,"""99 Fletcher Rd, Bedford, MA 01730, USA""",42.497982,-71.279933,"""RANGE_INTERPOLATED""",1990-12-06,3,2015_leak
93170,"""Brookside Pkwy & Newport Ave, Medford, MA 02155, USA""",42.422995,-71.104355,"""APPROXIMATE""",1990-12-19,3,2015_leak
93176,"""4 Thorndike St, Reading, MA 01867, USA""",42.529307,-71.098502,"""RANGE_INTERPOLATED""",1991-02-28,3,2015_leak
93178,"""17 Hartwell Ave, Lexington, MA 02421, USA""",42.475245,-71.254915,"""ROOFTOP""",1991-03-07,3,2015_leak
93878,"""588 Market St, Rockland, MA 02370, USA""",42.122844,-70.899408,"""RANGE_INTERPOLATED""",1991-05-20,3,2015_leak
41546,"""2 Mayfair St, Lynn, MA 01904, USA""",42.491195,-70.958522,"""ROOFTOP""",1991-08-16,3,2015_leak
41944,"""27 Squanto Rd, Woburn, MA 01801, USA""",42.461348,-71.199674,"""ROOFTOP""",1991-08-29,3,2015_leak
42089,"""51 Mystic Valley Pkwy, Winchester, MA 01890, USA""",42.445171,-71.137351,"""ROOFTOP""",1991-09-10,3,2015_leak
42441,"""14 Grove St, Reading, MA 01867, USA""",42.532575,-71.119358,"""RANGE_INTERPOLATED""",1991-09-13,3,2015_leak
93918,"""47 W Main St, West Brookfield, MA 01585, USA""",42.233619,-72.147631,"""RANGE_INTERPOLATED""",1991-10-01,3,2015_leak
