ids_2014,ids_2015
42122,42122
40217,40217
336411,336411
336417,336417
39061,39061
39131,39131
39095,39095
39092,39092
43866,43866
43865,43865
43797,43797
42479,42479
43799,43799
43634,43634
93170,93170
93176,93176
93178,93178
93878,93878
41546,41546
41944,41944
42089,42089
42441,42441
43857,43857
42241,42241
93203,93203
41541,41541
93219,93219
42619,42619
38861,38861
39070,39070
42311,42311
41243,41243
41240,41240
42432,42432
42428,42428
41311,41311
41820,41820
41822,41822
41360,41360
39206,39206
39974,39974
40008,40008
39207,39207
39314,39314
39306,39306
41527,41527
41147,41147
41990,41990
93297,93297
41153,41153
93300,93300
40917,40917
41458,41458
93305,93305
42649,42649
39588,39588
40322,40322
42522,42522
39100,39100
39713,39713
94043,94043
93331,93331
43427,43427
94062,94062
41637,41637
41847,41847
41673,41673
94605,94605
42157,42157
39961,39961
41466,41466
41461,41461
93524,93524
39952,39952
39338,39338
39344,39344
39385,39385
39383,39383
39851,39851
39368,39368
39366,39366
39423,39423
39359,39359
39292,39292
39576,39576
38863,38863
93412,93412
39278,39278
41650,41650
41651,41651
41480,41480
42174,42174
41036,41036
41402,41402
38877,38877
41642,41642
93459,93459
43133,43133
39970,39970
43183,43183
93483,93483
42039,42039
42686,42686
93507,93507
39260,39260
43829,43829
94351,94351
43187,43187
41682,41682
39680,39680
94376,94376
94370,94370
40405,40405
94385,94385
93598,93598
94390,94390
93609,93609
43672,43672
41732,41732
94414,94414
39168,39168
39584,39584
42222,42222
43355,43355
40498,40498
42571,42571
42211,42211
40566,40566
40510,40510
43363,43363
39043,39043
94509,94509
40636,40636
94539,94539
94564,94564
40709,40709
40719,40719
40720,40720
40725,40725
40726,40726
40661,40661
40593,40593
40596,40596
38909,38909
41058,41058
43161,43161
42258,42258
93793,93793
96528,96528
95558,95558
97020,97020
100193,100193
97390,97390
100709,100709
97810,97810
97814,97814
97866,97866
97868,97868
98148,98148
98251,98251
98477,98477
98741,98741
98783,98783
100143,100143
98781,98781
98865,98865
98893,98893
99022,99022
99212,99212
99866,99866
101032,101032
100700,100700
99449,99449
99842,99842
99450,99450
99520,99520
99746,99746
99725,99725
100534,100534
100109,100109
100038,100038
100650,100650
228961,228961
100786,100786
100795,100795
100579,100579
100862,100862
101135,101135
101282,101282
101709,101709
101768,101768
102034,102034
101817,101817
101641,101641
101854,101854
103175,103175
103179,103179
103181,103181
103183,103183
102872,102872
105445,105445
105458,105458
103165,103165
103515,103515
105662,105662
102977,102977
103050,103050
108652,108652
103289,103289
